#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: RxPower
#  Description: Received Power [dBm]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -75.5903389
#  Maximum: -25.6910255
#  Trials: 6112
#  Mean: -43.4167257
# 
#  Variance: 49.7975450
#  Relative variance: 0.0264176
#  Coefficient of variation: 0.1625350
#  Standard deviation: 7.0567376
#  Relative standard deviation: -0.1625350
# 
#  Skewness: -1.2233609
# 
#  2nd moment: 1934.8014667
#  3rd moment: -88756.0288101
# 
#  Sum of all values: -265363.0273850
#  (Sum of all values)^2: 11825506.5645794
#  (Sum of all values)^3: -542476848.0870810
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -80
#  Right border of x-axis: -20
#  Resolution of x-axis: 120
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: -65.9900000
#  P02: -63.6309091
#  P03: -62.3200000
#  P04: -61.1593939
#  P05: -59.6416667
#  P06: -58.1744444
#  P07: -56.5600000
#  P08: -55.1008000
#  P09: -53.8200000
#  P10: -52.7360000
#  P11: -51.7348148
#  P12: -50.5096552
#  P13: -49.7765217
#  P14: -49.1814286
#  P15: -48.6600000
#  P16: -48.2088889
#  P17: -47.8294505
#  P18: -47.4944762
#  P19: -47.2034286
#  P20: -46.9369863
#  P21: -46.7276712
#  P22: -46.5183562
#  P23: -46.2714754
#  P24: -46.0209836
#  P25: -45.8271605
#  P26: -45.6385185
#  P27: -45.4538636
#  P28: -45.2802273
#  P29: -45.1065909
#  P30: -44.9348066
#  P31: -44.7659669
#  P32: -44.5971271
#  P33: -44.4351000
#  P34: -44.2823000
#  P35: -44.1295000
#  P36: -43.9809796
#  P37: -43.8562449
#  P38: -43.7315102
#  P39: -43.6067755
#  P40: -43.4831418
#  P41: -43.3660536
#  P42: -43.2489655
#  P43: -43.1318774
#  P44: -43.0147893
#  P45: -42.8910204
#  P46: -42.7662857
#  P47: -42.6415510
#  P48: -42.5168163
#  P49: -42.3986973
#  P50: -42.2816092
#  P51: -42.1645211
#  P52: -42.0474330
#  P53: -41.9357597
#  P54: -41.8277739
#  P55: -41.7197880
#  P56: -41.6118021
#  P57: -41.5038163
#  P58: -41.3883333
#  P59: -41.2725758
#  P60: -41.1568182
#  P61: -41.0410606
#  P62: -40.9211200
#  P63: -40.7988800
#  P64: -40.6766400
#  P65: -40.5544000
#  P66: -40.4275214
#  P67: -40.2969231
#  P68: -40.1663248
#  P69: -40.0357265
#  P70: -39.9008929
#  P71: -39.7644643
#  P72: -39.6280357
#  P73: -39.4904082
#  P74: -39.3344898
#  P75: -39.1785714
#  P76: -39.0226531
#  P77: -38.8653608
#  P78: -38.7078351
#  P79: -38.5503093
#  P80: -38.3797688
#  P81: -38.2031214
#  P82: -38.0264740
#  P83: -37.8089706
#  P84: -37.5842647
#  P85: -37.3541985
#  P86: -37.1209160
#  P87: -36.8831746
#  P88: -36.6406349
#  P89: -36.3800000
#  P90: -36.0943925
#  P91: -35.8051429
#  P92: -35.5140952
#  P93: -35.1173684
#  P94: -34.6952113
#  P95: -34.2169492
#  P96: -33.5963636
#  P97: -32.9145455
#  P98: -31.9006897
#  P99: -30.7030000
#  P100: -25.6910255
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-80.0000000         0.0000000       1.0000000       0.0000000     0
-79.5000000         0.0000000       1.0000000       0.0000000     1
-79.0000000         0.0000000       1.0000000       0.0000000     2
-78.5000000         0.0000000       1.0000000       0.0000000     3
-78.0000000         0.0000000       1.0000000       0.0000000     4
-77.5000000         0.0000000       1.0000000       0.0000000     5
-77.0000000         0.0000000       1.0000000       0.0000000     6
-76.5000000         0.0000000       1.0000000       0.0000000     7
-76.0000000         0.0000000       1.0000000       0.0000000     8
-75.5000000         0.0001636       0.9998364       0.0001636     9
-75.0000000         0.0001636       0.9998364       0.0000000    10
-74.5000000         0.0001636       0.9998364       0.0000000    11
-74.0000000         0.0003272       0.9996728       0.0001636    12
-73.5000000         0.0004908       0.9995092       0.0001636    13
-73.0000000         0.0004908       0.9995092       0.0000000    14
-72.5000000         0.0004908       0.9995092       0.0000000    15
-72.0000000         0.0004908       0.9995092       0.0000000    16
-71.5000000         0.0006545       0.9993455       0.0001636    17
-71.0000000         0.0008181       0.9991819       0.0001636    18
-70.5000000         0.0011453       0.9988547       0.0003272    19
-70.0000000         0.0017997       0.9982003       0.0006545    20
-69.5000000         0.0022906       0.9977094       0.0004908    21
-69.0000000         0.0027814       0.9972186       0.0004908    22
-68.5000000         0.0037631       0.9962369       0.0009817    23
-68.0000000         0.0049084       0.9950916       0.0011453    24
-67.5000000         0.0068717       0.9931283       0.0019634    25
-67.0000000         0.0081806       0.9918194       0.0013089    26
-66.5000000         0.0088351       0.9911649       0.0006545    27
-66.0000000         0.0099804       0.9900196       0.0011453    28
-65.5000000         0.0109620       0.9890380       0.0009817    29
-65.0000000         0.0117801       0.9882199       0.0008181    30
-64.5000000         0.0143979       0.9856021       0.0026178    31
-64.0000000         0.0173429       0.9826571       0.0029450    32
-63.5000000         0.0209424       0.9790576       0.0035995    33
-63.0000000         0.0235602       0.9764398       0.0026178    34
-62.5000000         0.0284686       0.9715314       0.0049084    35
-62.0000000         0.0327225       0.9672775       0.0042539    36
-61.5000000         0.0363220       0.9636780       0.0035995    37
-61.0000000         0.0417212       0.9582788       0.0053992    38
-60.5000000         0.0451571       0.9548429       0.0034359    39
-60.0000000         0.0485929       0.9514071       0.0034359    40
-59.5000000         0.0505563       0.9494437       0.0019634    41
-59.0000000         0.0551374       0.9448626       0.0045812    42
-58.5000000         0.0580825       0.9419175       0.0029450    43
-58.0000000         0.0610275       0.9389725       0.0029450    44
-57.5000000         0.0638089       0.9361911       0.0027814    45
-57.0000000         0.0674084       0.9325916       0.0035995    46
-56.5000000         0.0703534       0.9296466       0.0029450    47
-56.0000000         0.0739529       0.9260471       0.0035995    48
-55.5000000         0.0767343       0.9232657       0.0027814    49
-55.0000000         0.0808246       0.9191754       0.0040903    50
-54.5000000         0.0849149       0.9150851       0.0040903    51
-54.0000000         0.0883508       0.9116492       0.0034359    52
-53.5000000         0.0929319       0.9070681       0.0045812    53
-53.0000000         0.0978403       0.9021597       0.0049084    54
-52.5000000         0.1019306       0.8980694       0.0040903    55
-52.0000000         0.1076571       0.8923429       0.0057264    56
-51.5000000         0.1120746       0.8879254       0.0044175    57
-51.0000000         0.1153469       0.8846531       0.0032723    58
-50.5000000         0.1200916       0.8799084       0.0047448    59
-50.0000000         0.1266361       0.8733639       0.0065445    60
-49.5000000         0.1341623       0.8658377       0.0075262    61
-49.0000000         0.1433246       0.8566754       0.0091623    62
-48.5000000         0.1531414       0.8468586       0.0098168    63
-48.0000000         0.1649215       0.8350785       0.0117801    64
-47.5000000         0.1798102       0.8201898       0.0148887    65
-47.0000000         0.1969895       0.8030105       0.0171793    66
-46.5000000         0.2208770       0.7791230       0.0238874    67
-46.0000000         0.2408377       0.7591623       0.0199607    68
-45.5000000         0.2673429       0.7326571       0.0265052    69
-45.0000000         0.2961387       0.7038613       0.0287958    70
-44.5000000         0.3257526       0.6742474       0.0296139    71
-44.0000000         0.3584751       0.6415249       0.0327225    72
-43.5000000         0.3985602       0.6014398       0.0400851    73
-43.0000000         0.4412631       0.5587369       0.0427029    74
-42.5000000         0.4813482       0.5186518       0.0400851    75
-42.0000000         0.5240510       0.4759490       0.0427029    76
-41.5000000         0.5703534       0.4296466       0.0463024    77
-41.0000000         0.6135471       0.3864529       0.0431937    78
-40.5000000         0.6544503       0.3455497       0.0409031    79
-40.0000000         0.6927356       0.3072644       0.0382853    80
-39.5000000         0.7293848       0.2706152       0.0366492    81
-39.0000000         0.7614529       0.2385471       0.0320681    82
-38.5000000         0.7931937       0.2068063       0.0317408    83
-38.0000000         0.8214987       0.1785013       0.0283050    84
-37.5000000         0.8437500       0.1562500       0.0222513    85
-37.0000000         0.8651832       0.1348168       0.0214332    86
-36.5000000         0.8857984       0.1142016       0.0206152    87
-36.0000000         0.9033050       0.0966950       0.0175065    88
-35.5000000         0.9204843       0.0795157       0.0171793    89
-35.0000000         0.9329188       0.0670812       0.0124346    90
-34.5000000         0.9445353       0.0554647       0.0116165    91
-34.0000000         0.9541885       0.0458115       0.0096531    92
-33.5000000         0.9613874       0.0386126       0.0071990    93
-33.0000000         0.9690772       0.0309228       0.0076898    94
-32.5000000         0.9744764       0.0255236       0.0053992    95
-32.0000000         0.9790576       0.0209424       0.0045812    96
-31.5000000         0.9838024       0.0161976       0.0047448    97
-31.0000000         0.9880563       0.0119437       0.0042539    98
-30.5000000         0.9913285       0.0086715       0.0032723    99
-30.0000000         0.9928010       0.0071990       0.0014725   100
-29.5000000         0.9950916       0.0049084       0.0022906   101
-29.0000000         0.9962369       0.0037631       0.0011453   102
-28.5000000         0.9968914       0.0031086       0.0006545   103
-28.0000000         0.9980366       0.0019634       0.0011453   104
-27.5000000         0.9986911       0.0013089       0.0006545   105
-27.0000000         0.9988547       0.0011453       0.0001636   106
-26.5000000         0.9995092       0.0004908       0.0006545   107
-26.0000000         0.9998364       0.0001636       0.0003272   108
-25.5000000         1.0000000       0.0000000       0.0001636   109
-25.0000000         1.0000000       0.0000000       0.0000000   110
-24.5000000         1.0000000       0.0000000       0.0000000   111
-24.0000000         1.0000000       0.0000000       0.0000000   112
