#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: SINR
#  Description: SINR [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 0.0027334
#  Maximum: 56.6530043
#  Trials: 6112
#  Mean: 19.9855328
# 
#  Variance: 187.0275697
#  Relative variance: 0.4682461
#  Coefficient of variation: 0.6842851
#  Standard deviation: 13.6758023
#  Relative standard deviation: 0.6842851
# 
#  Skewness: 0.3796186
# 
#  2nd moment: 586.4184928
#  3rd moment: 20165.3244220
# 
#  Sum of all values: 122151.5767569
#  (Sum of all values)^2: 3584189.8277245
#  (Sum of all values)^3: 123250462.8673143
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -10
#  Right border of x-axis: 60
#  Resolution of x-axis: 300
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 0.3963404
#  P02: 0.8268837
#  P03: 1.2020488
#  P04: 1.5981149
#  P05: 1.9611494
#  P06: 2.4040000
#  P07: 2.8153333
#  P08: 3.2654118
#  P09: 3.5973091
#  P10: 3.8719149
#  P11: 4.1916589
#  P12: 4.5782857
#  P13: 4.8843852
#  P14: 5.1652308
#  P15: 5.5337778
#  P16: 5.8144691
#  P17: 6.0825660
#  P18: 6.3381667
#  P19: 6.5873052
#  P20: 6.7881690
#  P21: 7.0521667
#  P22: 7.3091069
#  P23: 7.5812549
#  P24: 7.8778963
#  P25: 8.1467836
#  P26: 8.4079259
#  P27: 8.7051667
#  P28: 8.9507677
#  P29: 9.1758718
#  P30: 9.4441667
#  P31: 9.6988333
#  P32: 9.9862727
#  P33: 10.2948369
#  P34: 10.5378333
#  P35: 10.7934568
#  P36: 11.0796923
#  P37: 11.4350244
#  P38: 11.7286437
#  P39: 12.0965752
#  P40: 12.4246296
#  P41: 12.7656471
#  P42: 13.0835556
#  P43: 13.4340952
#  P44: 13.7885333
#  P45: 14.1619820
#  P46: 14.5036768
#  P47: 14.9189630
#  P48: 15.4053333
#  P49: 15.9535111
#  P50: 16.3827586
#  P51: 16.9435833
#  P52: 17.4230617
#  P53: 18.0461176
#  P54: 18.7418133
#  P55: 19.3309333
#  P56: 19.9359487
#  P57: 20.4788642
#  P58: 21.3068406
#  P59: 21.9225128
#  P60: 22.7355556
#  P61: 23.5522963
#  P62: 24.2118000
#  P63: 25.1177436
#  P64: 25.8737436
#  P65: 26.6066667
#  P66: 27.1511605
#  P67: 27.7759298
#  P68: 28.4698788
#  P69: 29.0920000
#  P70: 29.7241026
#  P71: 30.3707111
#  P72: 30.8859733
#  P73: 31.5030933
#  P74: 32.1336140
#  P75: 32.7343137
#  P76: 33.1887273
#  P77: 33.6594023
#  P78: 34.2051014
#  P79: 34.7055897
#  P80: 35.1397917
#  P81: 35.5430538
#  P82: 36.0509778
#  P83: 36.4576491
#  P84: 36.8207805
#  P85: 37.2620202
#  P86: 37.6589867
#  P87: 38.1377204
#  P88: 38.6463333
#  P89: 39.1452889
#  P90: 39.6291358
#  P91: 40.2124000
#  P92: 40.8184444
#  P93: 41.4780000
#  P94: 42.0957500
#  P95: 42.7975000
#  P96: 43.6184444
#  P97: 44.6318889
#  P98: 46.1754667
#  P99: 47.8013333
#  P100: 56.6530043
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-10.0000000         0.0000000       1.0000000       0.0000000     0
-9.7666667          0.0000000       1.0000000       0.0000000     1
-9.5333333          0.0000000       1.0000000       0.0000000     2
-9.3000000          0.0000000       1.0000000       0.0000000     3
-9.0666667          0.0000000       1.0000000       0.0000000     4
-8.8333333          0.0000000       1.0000000       0.0000000     5
-8.6000000          0.0000000       1.0000000       0.0000000     6
-8.3666667          0.0000000       1.0000000       0.0000000     7
-8.1333333          0.0000000       1.0000000       0.0000000     8
-7.9000000          0.0000000       1.0000000       0.0000000     9
-7.6666667          0.0000000       1.0000000       0.0000000    10
-7.4333333          0.0000000       1.0000000       0.0000000    11
-7.2000000          0.0000000       1.0000000       0.0000000    12
-6.9666667          0.0000000       1.0000000       0.0000000    13
-6.7333333          0.0000000       1.0000000       0.0000000    14
-6.5000000          0.0000000       1.0000000       0.0000000    15
-6.2666667          0.0000000       1.0000000       0.0000000    16
-6.0333333          0.0000000       1.0000000       0.0000000    17
-5.8000000          0.0000000       1.0000000       0.0000000    18
-5.5666667          0.0000000       1.0000000       0.0000000    19
-5.3333333          0.0000000       1.0000000       0.0000000    20
-5.1000000          0.0000000       1.0000000       0.0000000    21
-4.8666667          0.0000000       1.0000000       0.0000000    22
-4.6333333          0.0000000       1.0000000       0.0000000    23
-4.4000000          0.0000000       1.0000000       0.0000000    24
-4.1666667          0.0000000       1.0000000       0.0000000    25
-3.9333333          0.0000000       1.0000000       0.0000000    26
-3.7000000          0.0000000       1.0000000       0.0000000    27
-3.4666667          0.0000000       1.0000000       0.0000000    28
-3.2333333          0.0000000       1.0000000       0.0000000    29
-3.0000000          0.0000000       1.0000000       0.0000000    30
-2.7666667          0.0000000       1.0000000       0.0000000    31
-2.5333333          0.0000000       1.0000000       0.0000000    32
-2.3000000          0.0000000       1.0000000       0.0000000    33
-2.0666667          0.0000000       1.0000000       0.0000000    34
-1.8333333          0.0000000       1.0000000       0.0000000    35
-1.6000000          0.0000000       1.0000000       0.0000000    36
-1.3666667          0.0000000       1.0000000       0.0000000    37
-1.1333333          0.0000000       1.0000000       0.0000000    38
-0.9000000          0.0000000       1.0000000       0.0000000    39
-0.6666667          0.0000000       1.0000000       0.0000000    40
-0.4333333          0.0000000       1.0000000       0.0000000    41
-0.2000000          0.0000000       1.0000000       0.0000000    42
0.0333333           0.0004908       0.9995092       0.0004908    43
0.2666667           0.0057264       0.9942736       0.0052356    44
0.5000000           0.0134162       0.9865838       0.0076898    45
0.7333333           0.0171793       0.9828207       0.0037631    46
0.9666667           0.0242147       0.9757853       0.0070353    47
1.2000000           0.0299411       0.9700589       0.0057264    48
1.4333333           0.0366492       0.9633508       0.0067081    49
1.6666667           0.0413940       0.9586060       0.0047448    50
1.9000000           0.0487565       0.9512435       0.0073626    51
2.1333333           0.0535013       0.9464987       0.0047448    52
2.3666667           0.0589005       0.9410995       0.0053992    53
2.6000000           0.0657723       0.9342277       0.0068717    54
2.8333333           0.0703534       0.9296466       0.0045812    55
3.0666667           0.0752618       0.9247382       0.0049084    56
3.3000000           0.0808246       0.9191754       0.0055628    57
3.5333333           0.0875327       0.9124673       0.0067081    58
3.7666667           0.0965314       0.9034686       0.0089987    59
4.0000000           0.1042212       0.8957788       0.0076898    60
4.2333333           0.1112565       0.8887435       0.0070353    61
4.4666667           0.1161649       0.8838351       0.0049084    62
4.7000000           0.1241819       0.8758181       0.0080170    63
4.9333333           0.1315445       0.8684555       0.0073626    64
5.1666667           0.1400524       0.8599476       0.0085079    65
5.4000000           0.1457788       0.8542212       0.0057264    66
5.6333333           0.1531414       0.8468586       0.0073626    67
