#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: Minimum Pathloss
#  Description: Minimum Pathloss [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -101.5903389
#  Maximum: -51.6910255
#  Trials: 6112
#  Mean: -69.4167257
# 
#  Variance: 49.7975450
#  Relative variance: 0.0103343
#  Coefficient of variation: 0.1016576
#  Standard deviation: 7.0567376
#  Relative standard deviation: -0.1016576
# 
#  Skewness: -1.2233609
# 
#  2nd moment: 4868.4712023
#  3rd moment: -345295.6629026
# 
#  Sum of all values: -424275.0273850
#  (Sum of all values)^2: 29756095.9885978
#  (Sum of all values)^3: -2110447091.6609926
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -100
#  Right border of x-axis: -40
#  Resolution of x-axis: 130
# -----------------------------------------------------------
# PDF data 
#  Underflows: 2
#  Underflows in percent: 0.0003272251
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: -91.9161538
#  P02: -89.6459919
#  P03: -88.3072000
#  P04: -87.1514286
#  P05: -85.6123077
#  P06: -84.2003846
#  P07: -82.5737278
#  P08: -81.1379264
#  P09: -79.7671795
#  P10: -78.7661538
#  P11: -77.6984615
#  P12: -76.5069822
#  P13: -75.7685553
#  P14: -75.1842090
#  P15: -74.6264615
#  P16: -74.2258722
#  P17: -73.8417464
#  P18: -73.4928801
#  P19: -73.1868336
#  P20: -72.9681574
#  P21: -72.7466848
#  P22: -72.4970456
#  P23: -72.2548837
#  P24: -72.0362075
#  P25: -71.8210361
#  P26: -71.6291366
#  P27: -71.4372370
#  P28: -71.2612790
#  P29: -71.0913438
#  P30: -70.9214575
#  P31: -70.7564912
#  P32: -70.5915250
#  P33: -70.4295516
#  P34: -70.2787001
#  P35: -70.1278486
#  P36: -69.9812160
#  P37: -69.8580316
#  P38: -69.7348472
#  P39: -69.6116627
#  P40: -69.4873626
#  P41: -69.3614286
#  P42: -69.2354945
#  P43: -69.1095604
#  P44: -68.9848594
#  P45: -68.8605896
#  P46: -68.7363199
#  P47: -68.6123077
#  P48: -68.4976360
#  P49: -68.3829644
#  P50: -68.2682927
#  P51: -68.1536356
#  P52: -68.0463761
#  P53: -67.9391167
#  P54: -67.8318573
#  P55: -67.7245978
#  P56: -67.6143752
#  P57: -67.5028763
#  P58: -67.3913773
#  P59: -67.2798784
#  P60: -67.1658120
#  P61: -67.0497246
#  P62: -66.9336372
#  P63: -66.8175499
#  P64: -66.6933428
#  P65: -66.5633463
#  P66: -66.4333499
#  P67: -66.3030769
#  P68: -66.1647964
#  P69: -66.0265158
#  P70: -65.8882353
#  P71: -65.7552991
#  P72: -65.6247009
#  P73: -65.4941026
#  P74: -65.3589974
#  P75: -65.2005186
#  P76: -65.0420398
#  P77: -64.8814565
#  P78: -64.7145380
#  P79: -64.5476195
#  P80: -64.3766842
#  P81: -64.2014716
#  P82: -64.0262590
#  P83: -63.8018055
#  P84: -63.5686713
#  P85: -63.3404467
#  P86: -63.1129529
#  P87: -62.8704749
#  P88: -62.6251773
#  P89: -62.3757114
#  P90: -62.1150997
#  P91: -61.7668376
#  P92: -61.4538958
#  P93: -61.1226756
#  P94: -60.7055385
#  P95: -60.2133779
#  P96: -59.5889510
#  P97: -58.9575385
#  P98: -57.9050549
#  P99: -56.7466667
#  P100: -51.6910255
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-100.0000000        0.0003272       0.9996728       0.0000000     0
-99.5384615         0.0004908       0.9995092       0.0001636     1
-99.0769231         0.0004908       0.9995092       0.0000000     2
-98.6153846         0.0004908       0.9995092       0.0000000     3
-98.1538462         0.0004908       0.9995092       0.0000000     4
-97.6923077         0.0004908       0.9995092       0.0000000     5
-97.2307692         0.0006545       0.9993455       0.0001636     6
-96.7692308         0.0009817       0.9990183       0.0003272     7
-96.3076923         0.0011453       0.9988547       0.0001636     8
-95.8461538         0.0019634       0.9980366       0.0008181     9
-95.3846154         0.0024542       0.9975458       0.0004908    10
-94.9230769         0.0031086       0.9968914       0.0006545    11
-94.4615385         0.0037631       0.9962369       0.0006545    12
-94.0000000         0.0049084       0.9950916       0.0011453    13
-93.5384615         0.0067081       0.9932919       0.0017997    14
-93.0769231         0.0080170       0.9919830       0.0013089    15
-92.6153846         0.0088351       0.9911649       0.0008181    16
-92.1538462         0.0093259       0.9906741       0.0004908    17
-91.6923077         0.0106348       0.9893652       0.0013089    18
-91.2307692         0.0116165       0.9883835       0.0009817    19
-90.7692308         0.0129254       0.9870746       0.0013089    20
-90.3076923         0.0160340       0.9839660       0.0031086    21
-89.8461538         0.0186518       0.9813482       0.0026178    22
-89.3846154         0.0217605       0.9782395       0.0031086    23
-88.9230769         0.0242147       0.9757853       0.0024542    24
-88.4615385         0.0286322       0.9713678       0.0044175    25
-88.0000000         0.0327225       0.9672775       0.0040903    26
-87.5384615         0.0361584       0.9638416       0.0034359    27
-87.0769231         0.0407395       0.9592605       0.0045812    28
-86.6153846         0.0441754       0.9558246       0.0034359    29
-86.1538462         0.0481021       0.9518979       0.0039267    30
-85.6923077         0.0495746       0.9504254       0.0014725    31
-85.2307692         0.0520288       0.9479712       0.0024542    32
-84.7692308         0.0569372       0.9430628       0.0049084    33
-84.3076923         0.0593914       0.9406086       0.0024542    34
-83.8461538         0.0620092       0.9379908       0.0026178    35
-83.3846154         0.0644634       0.9355366       0.0024542    36
-82.9230769         0.0683901       0.9316099       0.0039267    37
-82.4615385         0.0705170       0.9294830       0.0021270    38
-82.0000000         0.0739529       0.9260471       0.0034359    39
-81.5384615         0.0767343       0.9232657       0.0027814    40
-81.0769231         0.0804974       0.9195026       0.0037631    41
-80.6153846         0.0829516       0.9170484       0.0024542    42
-80.1538462         0.0875327       0.9124673       0.0045812    43
-79.6923077         0.0904777       0.9095223       0.0029450    44
-79.2307692         0.0955497       0.9044503       0.0050720    45
-78.7692308         0.0999673       0.9000327       0.0044175    46
-78.3076923         0.1048757       0.8951243       0.0049084    47
-77.8461538         0.1086387       0.8913613       0.0037631    48
-77.3846154         0.1128927       0.8871073       0.0042539    49
-76.9230769         0.1161649       0.8838351       0.0032723    50
-76.4615385         0.1204188       0.8795812       0.0042539    51
-76.0000000         0.1266361       0.8733639       0.0062173    52
-75.5384615         0.1333442       0.8666558       0.0067081    53
-75.0769231         0.1420157       0.8579843       0.0086715    54
-74.6153846         0.1501963       0.8498037       0.0081806    55
-74.1538462         0.1618128       0.8381872       0.0116165    56
-73.6923077         0.1739202       0.8260798       0.0121073    57
-73.2307692         0.1879908       0.8120092       0.0140707    58
-72.7692308         0.2090969       0.7909031       0.0211060    59
-72.3076923         0.2275851       0.7724149       0.0184882    60
-71.8461538         0.2486911       0.7513089       0.0211060    61
-71.3846154         0.2727421       0.7272579       0.0240510    62
-70.9230769         0.2999018       0.7000982       0.0271597    63
-70.4615385         0.3278796       0.6721204       0.0279777    64
-70.0000000         0.3584751       0.6415249       0.0305955    65
-69.5384615         0.3959424       0.6040576       0.0374673    66
-69.0769231         0.4325916       0.5674084       0.0366492    67
