#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: RxPower
#  Description: Received Power [dBm]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -63.9655681
#  Maximum: 3.8499688
#  Trials: 6504
#  Mean: -35.2546930
# 
#  Variance: 89.6059165
#  Relative variance: 0.0720946
#  Coefficient of variation: 0.2685044
#  Standard deviation: 9.4660402
#  Relative standard deviation: -0.2685044
# 
#  Skewness: 0.1584849
# 
#  2nd moment: 1332.4855184
#  3rd moment: -53159.0256707
# 
#  Sum of all values: -229296.5233076
#  (Sum of all values)^2: 8666485.8114186
#  (Sum of all values)^3: -345746302.9620479
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -80
#  Right border of x-axis: 0
#  Resolution of x-axis: 120
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 2
#  Overflows in percent: 0.0003075031
# -----------------------------------------------------------
# Percentiles
#  P01: -55.7551515
#  P02: -53.8992593
#  P03: -52.4891228
#  P04: -51.3647863
#  P05: -50.3179487
#  P06: -49.4292199
#  P07: -48.8221053
#  P08: -48.3274552
#  P09: -47.8734641
#  P10: -47.4483660
#  P11: -46.9819259
#  P12: -46.4963636
#  P13: -46.0036364
#  P14: -45.5821359
#  P15: -45.1958656
#  P16: -44.8597416
#  P17: -44.5102825
#  P18: -44.1428249
#  P19: -43.7929167
#  P20: -43.4541667
#  P21: -43.1340952
#  P22: -42.8243810
#  P23: -42.5078607
#  P24: -42.1842786
#  P25: -41.8721461
#  P26: -41.5751598
#  P27: -41.2826834
#  P28: -41.0099790
#  P29: -40.7372746
#  P30: -40.4719192
#  P31: -40.2091313
#  P32: -39.9453498
#  P33: -39.6776955
#  P34: -39.4100412
#  P35: -39.1492063
#  P36: -38.8911111
#  P37: -38.6343619
#  P38: -38.3865905
#  P39: -38.1388190
#  P40: -37.8666667
#  P41: -37.5634499
#  P42: -37.2680000
#  P43: -36.9970000
#  P44: -36.7260000
#  P45: -36.4929915
#  P46: -36.2706325
#  P47: -36.0482735
#  P48: -35.8203880
#  P49: -35.5909700
#  P50: -35.3615520
#  P51: -35.1373196
#  P52: -34.9138144
#  P53: -34.6903093
#  P54: -34.4425434
#  P55: -34.1919075
#  P56: -33.9387952
#  P57: -33.6775904
#  P58: -33.4163855
#  P59: -33.1671910
#  P60: -32.9235955
#  P61: -32.6800000
#  P62: -32.4182626
#  P63: -32.1554747
#  P64: -31.8964522
#  P65: -31.6428850
#  P66: -31.3893177
#  P67: -31.1080889
#  P68: -30.8190222
#  P69: -30.5446032
#  P70: -30.2865079
#  P71: -30.0284127
#  P72: -29.7661414
#  P73: -29.5033535
#  P74: -29.2388477
#  P75: -28.9711934
#  P76: -28.7035391
#  P77: -28.3976978
#  P78: -28.0857554
#  P79: -27.7357983
#  P80: -27.3714286
#  P81: -27.0560000
#  P82: -26.7462857
#  P83: -26.3711315
#  P84: -25.9753672
#  P85: -25.6079096
#  P86: -25.2179649
#  P87: -24.7615439
#  P88: -24.2718774
#  P89: -23.7473504
#  P90: -23.1914530
#  P91: -22.6287500
#  P92: -21.9462069
#  P93: -21.1473016
#  P94: -20.2210256
#  P95: -19.3496599
#  P96: -18.3419608
#  P97: -16.9682759
#  P98: -15.1155556
#  P99: -12.1192157
#  P100: NaN
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-80.0000000         0.0000000       1.0000000       0.0000000     0
-79.3333333         0.0000000       1.0000000       0.0000000     1
-78.6666667         0.0000000       1.0000000       0.0000000     2
-78.0000000         0.0000000       1.0000000       0.0000000     3
-77.3333333         0.0000000       1.0000000       0.0000000     4
-76.6666667         0.0000000       1.0000000       0.0000000     5
-76.0000000         0.0000000       1.0000000       0.0000000     6
-75.3333333         0.0000000       1.0000000       0.0000000     7
-74.6666667         0.0000000       1.0000000       0.0000000     8
-74.0000000         0.0000000       1.0000000       0.0000000     9
-73.3333333         0.0000000       1.0000000       0.0000000    10
-72.6666667         0.0000000       1.0000000       0.0000000    11
-72.0000000         0.0000000       1.0000000       0.0000000    12
-71.3333333         0.0000000       1.0000000       0.0000000    13
-70.6666667         0.0000000       1.0000000       0.0000000    14
-70.0000000         0.0000000       1.0000000       0.0000000    15
-69.3333333         0.0000000       1.0000000       0.0000000    16
-68.6666667         0.0000000       1.0000000       0.0000000    17
-68.0000000         0.0000000       1.0000000       0.0000000    18
-67.3333333         0.0000000       1.0000000       0.0000000    19
-66.6666667         0.0000000       1.0000000       0.0000000    20
-66.0000000         0.0000000       1.0000000       0.0000000    21
-65.3333333         0.0000000       1.0000000       0.0000000    22
-64.6666667         0.0000000       1.0000000       0.0000000    23
-64.0000000         0.0000000       1.0000000       0.0000000    24
-63.3333333         0.0003075       0.9996925       0.0003075    25
-62.6666667         0.0007688       0.9992312       0.0004613    26
-62.0000000         0.0013838       0.9986162       0.0006150    27
-61.3333333         0.0016913       0.9983087       0.0003075    28
-60.6666667         0.0019988       0.9980012       0.0003075    29
-60.0000000         0.0026138       0.9973862       0.0006150    30
-59.3333333         0.0030750       0.9969250       0.0004613    31
-58.6666667         0.0043050       0.9956950       0.0012300    32
-58.0000000         0.0049200       0.9950800       0.0006150    33
-57.3333333         0.0064576       0.9935424       0.0015375    34
-56.6666667         0.0078413       0.9921587       0.0013838    35
-56.0000000         0.0093788       0.9906212       0.0015375    36
-55.3333333         0.0110701       0.9889299       0.0016913    37
-54.6666667         0.0136839       0.9863161       0.0026138    38
-54.0000000         0.0193727       0.9806273       0.0056888    39
-53.3333333         0.0235240       0.9764760       0.0041513    40
-52.6666667         0.0284440       0.9715560       0.0049200    41
-52.0000000         0.0342866       0.9657134       0.0058426    42
-51.3333333         0.0402829       0.9597171       0.0059963    43
-50.6666667         0.0458180       0.9541820       0.0055351    44
-50.0000000         0.0538130       0.9461870       0.0079951    45
-49.3333333         0.0610394       0.9389606       0.0072263    46
-48.6666667         0.0727245       0.9272755       0.0116851    47
-48.0000000         0.0870234       0.9129766       0.0142989    48
-47.3333333         0.1027060       0.8972940       0.0156827    49
-46.6666667         0.1165437       0.8834563       0.0138376    50
-46.0000000         0.1300738       0.8699262       0.0135301    51
-45.3333333         0.1459102       0.8540898       0.0158364    52
-44.6666667         0.1657442       0.8342558       0.0198339    53
-44.0000000         0.1838868       0.8161132       0.0181427    54
-43.3333333         0.2035670       0.7964330       0.0196802    55
-42.6666667         0.2250923       0.7749077       0.0215252    56
-42.0000000         0.2456950       0.7543050       0.0206027    57
-41.3333333         0.2681427       0.7318573       0.0224477    58
-40.6666667         0.2925892       0.7074108       0.0244465    59
-40.0000000         0.3179582       0.6820418       0.0253690    60
-39.3333333         0.3428659       0.6571341       0.0249077    61
-38.6666667         0.3686962       0.6313038       0.0258303    62
-38.0000000         0.3956027       0.6043973       0.0269065    63
-37.3333333         0.4175892       0.5824108       0.0219865    64
-36.6666667         0.4421894       0.5578106       0.0246002    65
-36.0000000         0.4721710       0.5278290       0.0299815    66
-35.3333333         0.5012300       0.4987700       0.0290590    67
-34.6666667         0.5310578       0.4689422       0.0298278    68
-34.0000000         0.5576568       0.4423432       0.0265990    69
-33.3333333         0.5831796       0.4168204       0.0255228    70
-32.6666667         0.6105474       0.3894526       0.0273678    71
-32.0000000         0.6359164       0.3640836       0.0253690    72
-31.3333333         0.6622079       0.3377921       0.0262915    73
-30.6666667         0.6852706       0.3147294       0.0230627    74
-30.0000000         0.7111009       0.2888991       0.0258303    75
-29.3333333         0.7364699       0.2635301       0.0253690    76
-28.6666667         0.7613776       0.2386224       0.0249077    77
-28.0000000         0.7827491       0.2172509       0.0213715    78
-27.3333333         0.8010455       0.1989545       0.0182964    79
-26.6666667         0.8225707       0.1774293       0.0215252    80
-26.0000000         0.8393296       0.1606704       0.0167589    81
-25.3333333         0.8574723       0.1425277       0.0181427    82
-24.6666667         0.8720787       0.1279213       0.0146064    83
-24.0000000         0.8854551       0.1145449       0.0133764    84
-23.3333333         0.8974477       0.1025523       0.0119926    85
-22.6666667         0.9094403       0.0905597       0.0119926    86
-22.0000000         0.9192804       0.0807196       0.0098401    87
-21.3333333         0.9281980       0.0718020       0.0089176    88
-20.6666667         0.9346556       0.0653444       0.0064576    89
-20.0000000         0.9426507       0.0573493       0.0079951    90
-19.3333333         0.9501845       0.0498155       0.0075338    91
-18.6666667         0.9561808       0.0438192       0.0059963    92
-18.0000000         0.9640221       0.0359779       0.0078413    93
-17.3333333         0.9675584       0.0324416       0.0035363    94
-16.6666667         0.9720172       0.0279828       0.0044588    95
-16.0000000         0.9775523       0.0224477       0.0055351    96
-15.3333333         0.9793973       0.0206027       0.0018450    97
-14.6666667         0.9812423       0.0187577       0.0018450    98
-14.0000000         0.9843173       0.0156827       0.0030750    99
-13.3333333         0.9863161       0.0136839       0.0019988   100
-12.6666667         0.9878536       0.0121464       0.0015375   101
-12.0000000         0.9904674       0.0095326       0.0026138   102
-11.3333333         0.9916974       0.0083026       0.0012300   103
-10.6666667         0.9923124       0.0076876       0.0006150   104
-10.0000000         0.9940037       0.0059963       0.0016913   105
-9.3333333          0.9949262       0.0050738       0.0009225   106
-8.6666667          0.9958487       0.0041513       0.0009225   107
-8.0000000          0.9958487       0.0041513       0.0000000   108
-7.3333333          0.9964637       0.0035363       0.0006150   109
-6.6666667          0.9970787       0.0029213       0.0006150   110
-6.0000000          0.9973862       0.0026138       0.0003075   111
-5.3333333          0.9978475       0.0021525       0.0004613   112
