#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: SINR
#  Description: SINR [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -5.7381480
#  Maximum: 16.9295343
#  Trials: 6504
#  Mean: 6.9502115
# 
#  Variance: 32.1503438
#  Relative variance: 0.6655636
#  Coefficient of variation: 0.8158208
#  Standard deviation: 5.6701273
#  Relative standard deviation: 0.8158208
# 
#  Skewness: 0.0478319
# 
#  2nd moment: 80.4508403
#  3rd moment: 1014.7046097
# 
#  Sum of all values: 45204.1755015
#  (Sum of all values)^2: 523252.2654007
#  (Sum of all values)^3: 6599638.7816106
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -10
#  Right border of x-axis: 20
#  Resolution of x-axis: 300
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: -3.2381538
#  P02: -2.7583529
#  P03: -2.2937778
#  P04: -1.9046667
#  P05: -1.6207143
#  P06: -1.3176296
#  P07: -1.0061429
#  P08: -0.8024286
#  P09: -0.5649756
#  P10: -0.4127273
#  P11: -0.2549231
#  P12: -0.1223830
#  P13: 0.0472000
#  P14: 0.2045882
#  P15: 0.3958824
#  P16: 0.5684444
#  P17: 0.7356000
#  P18: 0.9272558
#  P19: 1.0844000
#  P20: 1.2533333
#  P21: 1.4330370
#  P22: 1.5722000
#  P23: 1.7509767
#  P24: 1.9150189
#  P25: 2.0476190
#  P26: 2.2192381
#  P27: 2.4208235
#  P28: 2.5886512
#  P29: 2.7692500
#  P30: 2.9426316
#  P31: 3.1007500
#  P32: 3.2756364
#  P33: 3.4769655
#  P34: 3.6277073
#  P35: 3.7863415
#  P36: 3.9441143
#  P37: 4.1499355
#  P38: 4.3311351
#  P39: 4.5184390
#  P40: 4.7105882
#  P41: 4.9018824
#  P42: 5.0660000
#  P43: 5.2655000
#  P44: 5.4642162
#  P45: 5.6641176
#  P46: 5.8776250
#  P47: 6.0967059
#  P48: 6.2850588
#  P49: 6.4689524
#  P50: 6.6138889
#  P51: 6.8194839
#  P52: 7.0307778
#  P53: 7.2308889
#  P54: 7.4605333
#  P55: 7.6600000
#  P56: 7.8132500
#  P57: 8.0258750
#  P58: 8.2310667
#  P59: 8.4736552
#  P60: 8.7220690
#  P61: 8.9608889
#  P62: 9.2052857
#  P63: 9.4426667
#  P64: 9.6219487
#  P65: 9.8133333
#  P66: 10.0454737
#  P67: 10.2877037
#  P68: 10.5168235
#  P69: 10.7242500
#  P70: 10.9453846
#  P71: 11.1563243
#  P72: 11.4133793
#  P73: 11.6060000
#  P74: 11.8332222
#  P75: 12.0189189
#  P76: 12.2001290
#  P77: 12.4283200
#  P78: 12.6261935
#  P79: 12.8606400
#  P80: 13.0706667
#  P81: 13.2194074
#  P82: 13.4449412
#  P83: 13.7040000
#  P84: 13.8953143
#  P85: 14.0660000
#  P86: 14.2232500
#  P87: 14.4188966
#  P88: 14.5922667
#  P89: 14.7473143
#  P90: 14.8991489
#  P91: 15.0869268
#  P92: 15.2384242
#  P93: 15.4351795
#  P94: 15.6067317
#  P95: 15.7623256
#  P96: 15.9642353
#  P97: 16.1312632
#  P98: 16.3316800
#  P99: 16.5998333
#  P100: 16.9295343
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-10.0000000         0.0000000       1.0000000       0.0000000     0
-9.9000000          0.0000000       1.0000000       0.0000000     1
-9.8000000          0.0000000       1.0000000       0.0000000     2
-9.7000000          0.0000000       1.0000000       0.0000000     3
-9.6000000          0.0000000       1.0000000       0.0000000     4
-9.5000000          0.0000000       1.0000000       0.0000000     5
-9.4000000          0.0000000       1.0000000       0.0000000     6
-9.3000000          0.0000000       1.0000000       0.0000000     7
-9.2000000          0.0000000       1.0000000       0.0000000     8
-9.1000000          0.0000000       1.0000000       0.0000000     9
-9.0000000          0.0000000       1.0000000       0.0000000    10
-8.9000000          0.0000000       1.0000000       0.0000000    11
-8.8000000          0.0000000       1.0000000       0.0000000    12
-8.7000000          0.0000000       1.0000000       0.0000000    13
-8.6000000          0.0000000       1.0000000       0.0000000    14
-8.5000000          0.0000000       1.0000000       0.0000000    15
-8.4000000          0.0000000       1.0000000       0.0000000    16
-8.3000000          0.0000000       1.0000000       0.0000000    17
-8.2000000          0.0000000       1.0000000       0.0000000    18
-8.1000000          0.0000000       1.0000000       0.0000000    19
-8.0000000          0.0000000       1.0000000       0.0000000    20
-7.9000000          0.0000000       1.0000000       0.0000000    21
-7.8000000          0.0000000       1.0000000       0.0000000    22
-7.7000000          0.0000000       1.0000000       0.0000000    23
-7.6000000          0.0000000       1.0000000       0.0000000    24
-7.5000000          0.0000000       1.0000000       0.0000000    25
-7.4000000          0.0000000       1.0000000       0.0000000    26
-7.3000000          0.0000000       1.0000000       0.0000000    27
-7.2000000          0.0000000       1.0000000       0.0000000    28
-7.1000000          0.0000000       1.0000000       0.0000000    29
-7.0000000          0.0000000       1.0000000       0.0000000    30
-6.9000000          0.0000000       1.0000000       0.0000000    31
-6.8000000          0.0000000       1.0000000       0.0000000    32
-6.7000000          0.0000000       1.0000000       0.0000000    33
-6.6000000          0.0000000       1.0000000       0.0000000    34
-6.5000000          0.0000000       1.0000000       0.0000000    35
-6.4000000          0.0000000       1.0000000       0.0000000    36
-6.3000000          0.0000000       1.0000000       0.0000000    37
-6.2000000          0.0000000       1.0000000       0.0000000    38
-6.1000000          0.0000000       1.0000000       0.0000000    39
-6.0000000          0.0000000       1.0000000       0.0000000    40
-5.9000000          0.0000000       1.0000000       0.0000000    41
-5.8000000          0.0000000       1.0000000       0.0000000    42
-5.7000000          0.0001538       0.9998462       0.0001538    43
-5.6000000          0.0001538       0.9998462       0.0000000    44
-5.5000000          0.0001538       0.9998462       0.0000000    45
-5.4000000          0.0003075       0.9996925       0.0001538    46
-5.3000000          0.0003075       0.9996925       0.0000000    47
-5.2000000          0.0003075       0.9996925       0.0000000    48
-5.1000000          0.0004613       0.9995387       0.0001538    49
-5.0000000          0.0004613       0.9995387       0.0000000    50
-4.9000000          0.0007688       0.9992312       0.0003075    51
-4.8000000          0.0010763       0.9989237       0.0003075    52
-4.7000000          0.0012300       0.9987700       0.0001538    53
-4.6000000          0.0013838       0.9986162       0.0001538    54
-4.5000000          0.0013838       0.9986162       0.0000000    55
-4.4000000          0.0015375       0.9984625       0.0001538    56
-4.3000000          0.0018450       0.9981550       0.0003075    57
-4.2000000          0.0024600       0.9975400       0.0006150    58
-4.1000000          0.0029213       0.9970787       0.0004613    59
-4.0000000          0.0035363       0.9964637       0.0006150    60
-3.9000000          0.0041513       0.9958487       0.0006150    61
-3.8000000          0.0046125       0.9953875       0.0004613    62
-3.7000000          0.0058426       0.9941574       0.0012300    63
-3.6000000          0.0063038       0.9936962       0.0004613    64
-3.5000000          0.0069188       0.9930812       0.0006150    65
-3.4000000          0.0076876       0.9923124       0.0007688    66
