#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: Minimum Pathloss
#  Description: Minimum Pathloss [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -121.6627692
#  Maximum: -44.2231995
#  Trials: 6504
#  Mean: -87.6548639
# 
#  Variance: 120.2457593
#  Relative variance: 0.0156501
#  Coefficient of variation: 0.1251004
#  Standard deviation: 10.9656627
#  Relative standard deviation: -0.1251004
# 
#  Skewness: -0.1512458
# 
#  2nd moment: 7803.6024302
#  3rd moment: -705300.1477601
# 
#  Sum of all values: -570107.2345655
#  (Sum of all values)^2: 50754630.2060448
#  (Sum of all values)^3: -4587272161.0317974
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -130
#  Right border of x-axis: -50
#  Resolution of x-axis: 130
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 2
#  Overflows in percent: 0.0003075031
# -----------------------------------------------------------
# Percentiles
#  P01: -113.4516239
#  P02: -111.3183710
#  P03: -109.7123647
#  P04: -108.4772028
#  P05: -107.1527205
#  P06: -106.1869597
#  P07: -105.2688112
#  P08: -104.3682735
#  P09: -103.6390091
#  P10: -102.8282051
#  P11: -101.9876923
#  P12: -101.3078733
#  P13: -100.5905231
#  P14: -99.9677828
#  P15: -99.3339950
#  P16: -98.7701581
#  P17: -98.1929412
#  P18: -97.6043439
#  P19: -97.0749478
#  P20: -96.6279202
#  P21: -96.2573219
#  P22: -95.8653538
#  P23: -95.4365812
#  P24: -94.8912821
#  P25: -94.4743590
#  P26: -94.0872830
#  P27: -93.7200847
#  P28: -93.3915197
#  P29: -93.0655621
#  P30: -92.7234714
#  P31: -92.3899472
#  P32: -92.0844157
#  P33: -91.7739218
#  P34: -91.4458512
#  P35: -91.1336945
#  P36: -90.8518310
#  P37: -90.5723897
#  P38: -90.3055590
#  P39: -90.0387282
#  P40: -89.7446613
#  P41: -89.4459701
#  P42: -89.1606501
#  P43: -88.8787866
#  P44: -88.6004881
#  P45: -88.3244562
#  P46: -88.0606379
#  P47: -87.8165854
#  P48: -87.5725328
#  P49: -87.3439027
#  P50: -87.1177749
#  P51: -86.8859897
#  P52: -86.6191590
#  P53: -86.3523282
#  P54: -86.0884211
#  P55: -85.8251012
#  P56: -85.5769589
#  P57: -85.3442576
#  P58: -85.1115564
#  P59: -84.8188345
#  P60: -84.5156177
#  P61: -84.2299458
#  P62: -83.9480823
#  P63: -83.6735135
#  P64: -83.4030769
#  P65: -83.1427506
#  P66: -82.9001772
#  P67: -82.6576037
#  P68: -82.4048212
#  P69: -82.1498873
#  P70: -81.8830333
#  P71: -81.5991708
#  P72: -81.3031795
#  P73: -80.9696410
#  P74: -80.6534671
#  P75: -80.3634337
#  P76: -80.0556025
#  P77: -79.7014023
#  P78: -79.3437561
#  P79: -78.9831739
#  P80: -78.6225918
#  P81: -78.2654359
#  P82: -77.9318974
#  P83: -77.5839053
#  P84: -77.1990533
#  P85: -76.7266272
#  P86: -76.2284337
#  P87: -75.7370040
#  P88: -75.2040318
#  P89: -74.5275775
#  P90: -73.9245658
#  P91: -73.2806838
#  P92: -72.6369752
#  P93: -71.9323077
#  P94: -71.2014854
#  P95: -70.4455385
#  P96: -69.3977171
#  P97: -67.9172650
#  P98: -66.0027350
#  P99: -62.9253147
#  P100: NaN
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-130.0000000        0.0000000       1.0000000       0.0000000     0
-129.3846154        0.0000000       1.0000000       0.0000000     1
-128.7692308        0.0000000       1.0000000       0.0000000     2
-128.1538462        0.0000000       1.0000000       0.0000000     3
-127.5384615        0.0000000       1.0000000       0.0000000     4
-126.9230769        0.0000000       1.0000000       0.0000000     5
-126.3076923        0.0000000       1.0000000       0.0000000     6
-125.6923077        0.0000000       1.0000000       0.0000000     7
-125.0769231        0.0000000       1.0000000       0.0000000     8
-124.4615385        0.0000000       1.0000000       0.0000000     9
-123.8461538        0.0000000       1.0000000       0.0000000    10
-123.2307692        0.0000000       1.0000000       0.0000000    11
-122.6153846        0.0000000       1.0000000       0.0000000    12
-122.0000000        0.0000000       1.0000000       0.0000000    13
-121.3846154        0.0001538       0.9998462       0.0001538    14
-120.7692308        0.0003075       0.9996925       0.0001538    15
-120.1538462        0.0004613       0.9995387       0.0001538    16
-119.5384615        0.0004613       0.9995387       0.0000000    17
-118.9230769        0.0007688       0.9992312       0.0003075    18
-118.3076923        0.0012300       0.9987700       0.0004613    19
-117.6923077        0.0016913       0.9983087       0.0004613    20
-117.0769231        0.0019988       0.9980012       0.0003075    21
-116.4615385        0.0027675       0.9972325       0.0007688    22
-115.8461538        0.0044588       0.9955412       0.0016913    23
-115.2307692        0.0049200       0.9950800       0.0004613    24
-114.6153846        0.0067651       0.9932349       0.0018450    25
-114.0000000        0.0075338       0.9924662       0.0007688    26
-113.3846154        0.0103014       0.9896986       0.0027675    27
-112.7692308        0.0135301       0.9864699       0.0032288    28
-112.1538462        0.0164514       0.9835486       0.0029213    29
-111.5384615        0.0190652       0.9809348       0.0026138    30
-110.9230769        0.0216790       0.9783210       0.0026138    31
-110.3076923        0.0259840       0.9740160       0.0043050    32
-109.6923077        0.0301353       0.9698647       0.0041513    33
-109.0769231        0.0350554       0.9649446       0.0049200    34
-108.4615385        0.0401292       0.9598708       0.0050738    35
-107.8461538        0.0444342       0.9555658       0.0043050    36
-107.2307692        0.0492005       0.9507995       0.0047663    37
-106.6153846        0.0555043       0.9444957       0.0063038    38
-106.0000000        0.0619619       0.9380381       0.0064576    39
-105.3846154        0.0687269       0.9312731       0.0067651    40
-104.7692308        0.0754920       0.9245080       0.0067651    41
-104.1538462        0.0824108       0.9175892       0.0069188    42
-103.5384615        0.0914822       0.9085178       0.0090713    43
-102.9230769        0.0988622       0.9011378       0.0073801    44
-102.3076923        0.1062423       0.8937577       0.0073801    45
-101.6923077        0.1134686       0.8865314       0.0072263    46
-101.0769231        0.1239237       0.8760763       0.0104551    47
-100.4615385        0.1316113       0.8683887       0.0076876    48
-99.8461538         0.1420664       0.8579336       0.0104551    49
-99.2307692         0.1515990       0.8484010       0.0095326    50
-98.6153846         0.1628229       0.8371771       0.0112239    51
-98.0000000         0.1732780       0.8267220       0.0104551    52
-97.3846154         0.1837331       0.8162669       0.0104551    53
-96.7692308         0.1961870       0.8038130       0.0124539    54
-96.1538462         0.2127921       0.7872079       0.0166052    55
-95.5384615         0.2281673       0.7718327       0.0153752    56
-94.9230769         0.2392374       0.7607626       0.0110701    57
-94.3076923         0.2539975       0.7460025       0.0147601    58
-93.6923077         0.2707565       0.7292435       0.0167589    59
-93.0769231         0.2896679       0.7103321       0.0189114    60
-92.4615385         0.3076568       0.6923432       0.0179889    61
-91.8461538         0.3277983       0.6722017       0.0201415    62
-91.2307692         0.3465560       0.6534440       0.0187577    63
-90.6153846         0.3683887       0.6316113       0.0218327    64
-90.0000000         0.3914514       0.6085486       0.0230627    65
-89.3846154         0.4120541       0.5879459       0.0206027    66
-88.7692308         0.4338868       0.5661132       0.0218327    67
