#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: RxPower
#  Description: Received Power [dBm]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -86.6930431
#  Maximum: -11.0039499
#  Trials: 1609
#  Mean: -58.8922134
# 
#  Variance: 178.6162521
#  Relative variance: 0.0514998
#  Coefficient of variation: 0.2269356
#  Standard deviation: 13.3647391
#  Relative standard deviation: -0.2269356
# 
#  Skewness: 0.5534622
# 
#  2nd moment: 3646.7980365
#  3rd moment: -234471.9428914
# 
#  Sum of all values: -94757.5713051
#  (Sum of all values)^2: 5867698.0407054
#  (Sum of all values)^3: -377265356.1122923
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -90
#  Right border of x-axis: -10
#  Resolution of x-axis: 120
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: -82.6516667
#  P02: -80.1516667
#  P03: -78.9850000
#  P04: -77.7617778
#  P05: -77.1541667
#  P06: -76.7072222
#  P07: -76.2022222
#  P08: -75.6914286
#  P09: -75.2188095
#  P10: -74.8357143
#  P11: -74.3942424
#  P12: -73.9066667
#  P13: -73.4190909
#  P14: -73.0481720
#  P15: -72.7021505
#  P16: -72.3228571
#  P17: -71.9397619
#  P18: -71.5566667
#  P19: -71.1842222
#  P20: -70.8266667
#  P21: -70.5185000
#  P22: -70.2503333
#  P23: -69.9801852
#  P24: -69.6822222
#  P25: -69.3842593
#  P26: -69.1164228
#  P27: -68.8547967
#  P28: -68.5231746
#  P29: -68.0123810
#  P30: -67.6729167
#  P31: -67.3377083
#  P32: -66.9804444
#  P33: -66.6338333
#  P34: -66.3656667
#  P35: -66.0975000
#  P36: -65.7561905
#  P37: -65.3730952
#  P38: -65.0420202
#  P39: -64.7169697
#  P40: -64.4076190
#  P41: -64.1011429
#  P42: -63.7235897
#  P43: -63.3152083
#  P44: -62.9800000
#  P45: -62.6454545
#  P46: -62.3204040
#  P47: -61.9941026
#  P48: -61.5815385
#  P49: -61.1298413
#  P50: -60.6282051
#  P51: -60.2156410
#  P52: -59.7952000
#  P53: -59.3661333
#  P54: -59.0502857
#  P55: -58.7438095
#  P56: -58.3800000
#  P57: -57.9958730
#  P58: -57.4850794
#  P59: -57.1115686
#  P60: -56.7960784
#  P61: -56.3790909
#  P62: -55.9045333
#  P63: -55.4754667
#  P64: -55.0344444
#  P65: -54.5962963
#  P66: -54.1990123
#  P67: -53.6850980
#  P68: -53.1269565
#  P69: -52.6596667
#  P70: -52.1233333
#  P71: -51.6408696
#  P72: -51.1928205
#  P73: -50.7802564
#  P74: -50.3427778
#  P75: -49.9242424
#  P76: -49.5991919
#  P77: -49.2519444
#  P78: -48.8050000
#  P79: -48.3139683
#  P80: -47.7703704
#  P81: -47.1426667
#  P82: -46.2681481
#  P83: -45.3124444
#  P84: -44.5511111
#  P85: -43.7253968
#  P86: -43.1948148
#  P87: -42.5557576
#  P88: -41.5806061
#  P89: -40.5773333
#  P90: -39.5866667
#  P91: -38.6587500
#  P92: -37.9813333
#  P93: -37.0300000
#  P94: -36.1966667
#  P95: -34.7666667
#  P96: -33.2240000
#  P97: -31.3633333
#  P98: -29.1966667
#  P99: -24.7266667
#  P100: -11.0039499
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-90.0000000         0.0000000       1.0000000       0.0000000     0
-89.3333333         0.0000000       1.0000000       0.0000000     1
-88.6666667         0.0000000       1.0000000       0.0000000     2
-88.0000000         0.0000000       1.0000000       0.0000000     3
-87.3333333         0.0000000       1.0000000       0.0000000     4
-86.6666667         0.0006215       0.9993785       0.0006215     5
-86.0000000         0.0012430       0.9987570       0.0006215     6
-85.3333333         0.0018645       0.9981355       0.0006215     7
-84.6666667         0.0037290       0.9962710       0.0018645     8
-84.0000000         0.0037290       0.9962710       0.0000000     9
-83.3333333         0.0062150       0.9937850       0.0024860    10
-82.6666667         0.0099441       0.9900559       0.0037290    11
-82.0000000         0.0124301       0.9875699       0.0024860    12
-81.3333333         0.0149161       0.9850839       0.0024860    13
-80.6666667         0.0161591       0.9838409       0.0012430    14
-80.0000000         0.0211311       0.9788689       0.0049720    15
-79.3333333         0.0261032       0.9738968       0.0049720    16
-78.6666667         0.0335612       0.9664388       0.0074580    17
-78.0000000         0.0366687       0.9633313       0.0031075    18
-77.3333333         0.0459913       0.9540087       0.0093226    19
-76.6666667         0.0609074       0.9390926       0.0149161    20
-76.0000000         0.0739590       0.9260410       0.0130516    21
-75.3333333         0.0870106       0.9129894       0.0130516    22
-74.6666667         0.1044127       0.8955873       0.0174021    23
-74.0000000         0.1180858       0.8819142       0.0136731    24
-73.3333333         0.1317589       0.8682411       0.0136731    25
-72.6666667         0.1510255       0.8489745       0.0192666    26
-72.0000000         0.1684276       0.8315724       0.0174021    27
-71.3333333         0.1858297       0.8141703       0.0174021    28
-70.6666667         0.2044748       0.7955252       0.0186451    29
-70.0000000         0.2293350       0.7706650       0.0248602    30
-69.3333333         0.2517091       0.7482909       0.0223741    31
-68.6666667         0.2771908       0.7228092       0.0254817    32
-68.0000000         0.2902424       0.7097576       0.0130516    33
-67.3333333         0.3101305       0.6898695       0.0198881    34
-66.6666667         0.3287756       0.6712244       0.0186451    35
-66.0000000         0.3536358       0.6463642       0.0248602    36
-65.3333333         0.3710379       0.6289621       0.0174021    37
-64.6666667         0.3915475       0.6084525       0.0205096    38
-64.0000000         0.4133002       0.5866998       0.0217526    39
-63.3333333         0.4294593       0.5705407       0.0161591    40
-62.6666667         0.4493474       0.5506526       0.0198881    41
-62.0000000         0.4698571       0.5301429       0.0205096    42
-61.3333333         0.4860162       0.5139838       0.0161591    43
-60.6666667         0.4990677       0.5009323       0.0130516    44
-60.0000000         0.5152268       0.4847732       0.0161591    45
-59.3333333         0.5307644       0.4692356       0.0155376    46
-58.6666667         0.5525171       0.4474829       0.0217526    47
-58.0000000         0.5699192       0.4300808       0.0174021    48
-57.3333333         0.5829708       0.4170292       0.0130516    49
-56.6666667         0.6041019       0.3958981       0.0211311    50
-56.0000000         0.6177750       0.3822250       0.0136731    51
-55.3333333         0.6333126       0.3666874       0.0155376    52
-54.6666667         0.6482287       0.3517713       0.0149161    53
-54.0000000         0.6650093       0.3349907       0.0167806    54
-53.3333333         0.6755749       0.3244251       0.0105656    55
-52.6666667         0.6898695       0.3101305       0.0142946    56
-52.0000000         0.7022996       0.2977004       0.0124301    57
-51.3333333         0.7165942       0.2834058       0.0142946    58
-50.6666667         0.7327533       0.2672467       0.0161591    59
-50.0000000         0.7476694       0.2523306       0.0149161    60
-49.3333333         0.7681790       0.2318210       0.0205096    61
-48.6666667         0.7830951       0.2169049       0.0149161    62
-48.0000000         0.7961467       0.2038533       0.0130516    63
-47.3333333         0.8073337       0.1926663       0.0111871    64
-46.6666667         0.8166563       0.1833437       0.0093226    65
-46.0000000         0.8222498       0.1777502       0.0055935    66
-45.3333333         0.8297079       0.1702921       0.0074580    67
