#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: SINR
#  Description: SINR [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -7.6178384
#  Maximum: 16.8896073
#  Trials: 1609
#  Mean: 5.8452936
# 
#  Variance: 33.2613358
#  Relative variance: 0.9734800
#  Coefficient of variation: 0.9866509
#  Standard deviation: 5.7672642
#  Relative standard deviation: 0.9866509
# 
#  Skewness: 0.2515257
# 
#  2nd moment: 67.4081205
#  3rd moment: 830.8725226
# 
#  Sum of all values: 9405.0773290
#  (Sum of all values)^2: 108459.6658566
#  (Sum of all values)^3: 1336873.8888315
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -10
#  Right border of x-axis: 20
#  Resolution of x-axis: 300
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: -3.7303333
#  P02: -3.1303333
#  P03: -3.0207222
#  P04: -2.8515556
#  P05: -2.5183333
#  P06: -2.2692000
#  P07: -1.9895000
#  P08: -1.6325714
#  P09: -1.4148750
#  P10: -1.2137500
#  P11: -1.0201000
#  P12: -0.8642353
#  P13: -0.7138333
#  P14: -0.6102353
#  P15: -0.4776667
#  P16: -0.3722500
#  P17: -0.2547000
#  P18: -0.0943636
#  P19: 0.0815714
#  P20: 0.2316667
#  P21: 0.3986250
#  P22: 0.5854286
#  P23: 0.7589167
#  P24: 0.9072500
#  P25: 1.0083333
#  P26: 1.1292500
#  P27: 1.3061429
#  P28: 1.5089412
#  P29: 1.6038125
#  P30: 1.7050000
#  P31: 1.8186000
#  P32: 1.9431111
#  P33: 2.0997273
#  P34: 2.3010000
#  P35: 2.5350000
#  P36: 2.7088571
#  P37: 2.8370000
#  P38: 3.0035000
#  P39: 3.1322143
#  P40: 3.2471429
#  P41: 3.4384286
#  P42: 3.6173750
#  P43: 3.7358750
#  P44: 3.9211429
#  P45: 4.0631250
#  P46: 4.2690000
#  P47: 4.4470000
#  P48: 4.7029091
#  P49: 4.9267778
#  P50: 5.1312500
#  P51: 5.3159000
#  P52: 5.5240000
#  P53: 5.7681429
#  P54: 5.9551429
#  P55: 6.1491667
#  P56: 6.4173333
#  P57: 6.5927500
#  P58: 6.7565455
#  P59: 6.9901429
#  P60: 7.2050000
#  P61: 7.4054444
#  P62: 7.5758000
#  P63: 7.7767000
#  P64: 7.9108571
#  P65: 8.1308333
#  P66: 8.3656667
#  P67: 8.5378750
#  P68: 8.7024000
#  P69: 9.0021000
#  P70: 9.2216667
#  P71: 9.5341429
#  P72: 9.7497143
#  P73: 10.0714000
#  P74: 10.3776667
#  P75: 10.5729167
#  P76: 10.8548571
#  P77: 11.0155000
#  P78: 11.3170000
#  P79: 11.6422000
#  P80: 11.8920000
#  P81: 12.1322500
#  P82: 12.3672500
#  P83: 12.6638571
#  P84: 13.0140000
#  P85: 13.3941667
#  P86: 13.6870000
#  P87: 13.9975714
#  P88: 14.1990000
#  P89: 14.4455455
#  P90: 14.6100000
#  P91: 14.7619000
#  P92: 15.0040000
#  P93: 15.2306364
#  P94: 15.4351429
#  P95: 15.6838889
#  P96: 15.8520000
#  P97: 16.0673000
#  P98: 16.2964000
#  P99: 16.5558571
#  P100: 16.8896073
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-10.0000000         0.0000000       1.0000000       0.0000000     0
-9.9000000          0.0000000       1.0000000       0.0000000     1
-9.8000000          0.0000000       1.0000000       0.0000000     2
-9.7000000          0.0000000       1.0000000       0.0000000     3
-9.6000000          0.0000000       1.0000000       0.0000000     4
-9.5000000          0.0000000       1.0000000       0.0000000     5
-9.4000000          0.0000000       1.0000000       0.0000000     6
-9.3000000          0.0000000       1.0000000       0.0000000     7
-9.2000000          0.0000000       1.0000000       0.0000000     8
-9.1000000          0.0000000       1.0000000       0.0000000     9
-9.0000000          0.0000000       1.0000000       0.0000000    10
-8.9000000          0.0000000       1.0000000       0.0000000    11
-8.8000000          0.0000000       1.0000000       0.0000000    12
-8.7000000          0.0000000       1.0000000       0.0000000    13
-8.6000000          0.0000000       1.0000000       0.0000000    14
-8.5000000          0.0000000       1.0000000       0.0000000    15
-8.4000000          0.0000000       1.0000000       0.0000000    16
-8.3000000          0.0000000       1.0000000       0.0000000    17
-8.2000000          0.0000000       1.0000000       0.0000000    18
-8.1000000          0.0000000       1.0000000       0.0000000    19
-8.0000000          0.0000000       1.0000000       0.0000000    20
-7.9000000          0.0000000       1.0000000       0.0000000    21
-7.8000000          0.0000000       1.0000000       0.0000000    22
-7.7000000          0.0000000       1.0000000       0.0000000    23
-7.6000000          0.0006215       0.9993785       0.0006215    24
-7.5000000          0.0006215       0.9993785       0.0000000    25
-7.4000000          0.0006215       0.9993785       0.0000000    26
-7.3000000          0.0006215       0.9993785       0.0000000    27
-7.2000000          0.0006215       0.9993785       0.0000000    28
-7.1000000          0.0006215       0.9993785       0.0000000    29
-7.0000000          0.0006215       0.9993785       0.0000000    30
-6.9000000          0.0006215       0.9993785       0.0000000    31
-6.8000000          0.0006215       0.9993785       0.0000000    32
-6.7000000          0.0006215       0.9993785       0.0000000    33
-6.6000000          0.0006215       0.9993785       0.0000000    34
-6.5000000          0.0006215       0.9993785       0.0000000    35
-6.4000000          0.0006215       0.9993785       0.0000000    36
-6.3000000          0.0006215       0.9993785       0.0000000    37
-6.2000000          0.0006215       0.9993785       0.0000000    38
-6.1000000          0.0006215       0.9993785       0.0000000    39
-6.0000000          0.0006215       0.9993785       0.0000000    40
-5.9000000          0.0006215       0.9993785       0.0000000    41
-5.8000000          0.0006215       0.9993785       0.0000000    42
-5.7000000          0.0006215       0.9993785       0.0000000    43
-5.6000000          0.0006215       0.9993785       0.0000000    44
-5.5000000          0.0006215       0.9993785       0.0000000    45
-5.4000000          0.0006215       0.9993785       0.0000000    46
-5.3000000          0.0006215       0.9993785       0.0000000    47
-5.2000000          0.0006215       0.9993785       0.0000000    48
-5.1000000          0.0006215       0.9993785       0.0000000    49
-5.0000000          0.0006215       0.9993785       0.0000000    50
-4.9000000          0.0006215       0.9993785       0.0000000    51
-4.8000000          0.0006215       0.9993785       0.0000000    52
-4.7000000          0.0012430       0.9987570       0.0006215    53
-4.6000000          0.0018645       0.9981355       0.0006215    54
-4.5000000          0.0024860       0.9975140       0.0006215    55
-4.4000000          0.0031075       0.9968925       0.0006215    56
-4.3000000          0.0031075       0.9968925       0.0000000    57
-4.2000000          0.0049720       0.9950280       0.0018645    58
-4.1000000          0.0055935       0.9944065       0.0006215    59
-4.0000000          0.0080796       0.9919204       0.0024860    60
-3.9000000          0.0080796       0.9919204       0.0000000    61
-3.8000000          0.0087011       0.9912989       0.0006215    62
-3.7000000          0.0105656       0.9894344       0.0018645    63
-3.6000000          0.0130516       0.9869484       0.0024860    64
-3.5000000          0.0136731       0.9863269       0.0006215    65
-3.4000000          0.0155376       0.9844624       0.0018645    66
