#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: Minimum Pathloss
#  Description: Minimum Pathloss [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -136.8409370
#  Maximum: -59.6302607
#  Trials: 1609
#  Mean: -107.8538415
# 
#  Variance: 168.6479291
#  Relative variance: 0.0144981
#  Coefficient of variation: 0.1204079
#  Standard deviation: 12.9864518
#  Relative standard deviation: -0.1204079
# 
#  Skewness: 0.5919599
# 
#  2nd moment: 11800.9942395
#  3rd moment: -1307842.1327196
# 
#  Sum of all values: -173536.8309689
#  (Sum of all values)^2: 18987799.7313017
#  (Sum of all values)^3: -2104317991.5458469
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -140
#  Right border of x-axis: -60
#  Resolution of x-axis: 130
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 1
#  Overflows in percent: 0.000621504
# -----------------------------------------------------------
# Percentiles
#  P01: -130.8625641
#  P02: -129.1842735
#  P03: -128.1200000
#  P04: -127.3661538
#  P05: -126.4417582
#  P06: -125.7810256
#  P07: -125.3684615
#  P08: -124.6310490
#  P09: -124.1289231
#  P10: -123.6338462
#  P11: -123.1504762
#  P12: -122.6577376
#  P13: -122.1004308
#  P14: -121.7043692
#  P15: -121.3400531
#  P16: -120.9986207
#  P17: -120.4947009
#  P18: -119.9232579
#  P19: -119.4624852
#  P20: -119.0816568
#  P21: -118.7008284
#  P22: -118.2570940
#  P23: -117.7626667
#  P24: -117.4326154
#  P25: -117.0828402
#  P26: -116.7020118
#  P27: -116.3835897
#  P28: -116.0835431
#  P29: -115.7834965
#  P30: -115.4834499
#  P31: -115.2370598
#  P32: -115.0170256
#  P33: -114.7969915
#  P34: -114.4364497
#  P35: -114.0808791
#  P36: -113.7979780
#  P37: -113.5189744
#  P38: -113.2832234
#  P39: -113.0474725
#  P40: -112.7197324
#  P41: -112.2982564
#  P42: -112.0782222
#  P43: -111.8581880
#  P44: -111.5704615
#  P45: -111.0758621
#  P46: -110.7344297
#  P47: -110.3994231
#  P48: -110.0900000
#  P49: -109.7878632
#  P50: -109.5128205
#  P51: -109.2377778
#  P52: -108.7921678
#  P53: -108.3841420
#  P54: -108.0033136
#  P55: -107.7347193
#  P56: -107.4671102
#  P57: -107.1106462
#  P58: -106.7278322
#  P59: -106.4277855
#  P60: -106.1251282
#  P61: -105.7950769
#  P62: -105.4466667
#  P63: -105.0341026
#  P64: -104.6735279
#  P65: -104.3320955
#  P66: -103.9399385
#  P67: -103.5643501
#  P68: -103.2229178
#  P69: -102.8407692
#  P70: -102.4282051
#  P71: -102.0156410
#  P72: -101.5809790
#  P73: -101.1209231
#  P74: -100.6258462
#  P75: -100.1307692
#  P76: -99.5952137
#  P77: -99.0251584
#  P78: -98.3727473
#  P79: -97.5841026
#  P80: -96.9162393
#  P81: -96.3661538
#  P82: -95.7177436
#  P83: -95.1912551
#  P84: -94.4458741
#  P85: -93.9958042
#  P86: -93.4982996
#  P87: -92.7489231
#  P88: -91.6356923
#  P89: -90.4950427
#  P90: -89.3282051
#  P91: -88.4190769
#  P92: -87.3283516
#  P93: -86.3772308
#  P94: -85.2723077
#  P95: -84.1956044
#  P96: -82.0750769
#  P97: -79.3688889
#  P98: -77.6779487
#  P99: -72.3630769
#  P100: NaN
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-140.0000000        0.0000000       1.0000000       0.0000000     0
-139.3846154        0.0000000       1.0000000       0.0000000     1
-138.7692308        0.0000000       1.0000000       0.0000000     2
-138.1538462        0.0000000       1.0000000       0.0000000     3
-137.5384615        0.0000000       1.0000000       0.0000000     4
-136.9230769        0.0000000       1.0000000       0.0000000     5
-136.3076923        0.0006215       0.9993785       0.0006215     6
-135.6923077        0.0012430       0.9987570       0.0006215     7
-135.0769231        0.0012430       0.9987570       0.0000000     8
-134.4615385        0.0012430       0.9987570       0.0000000     9
-133.8461538        0.0024860       0.9975140       0.0012430    10
-133.2307692        0.0024860       0.9975140       0.0000000    11
-132.6153846        0.0037290       0.9962710       0.0012430    12
-132.0000000        0.0062150       0.9937850       0.0024860    13
-131.3846154        0.0068365       0.9931635       0.0006215    14
-130.7692308        0.0105656       0.9894344       0.0037290    15
-130.1538462        0.0142946       0.9857054       0.0037290    16
-129.5384615        0.0167806       0.9832194       0.0024860    17
-128.9230769        0.0223741       0.9776259       0.0055935    18
-128.3076923        0.0273462       0.9726538       0.0049720    19
-127.6923077        0.0360472       0.9639528       0.0087011    20
-127.0769231        0.0435053       0.9564947       0.0074580    21
-126.4615385        0.0497203       0.9502797       0.0062150    22
-125.8461538        0.0584214       0.9415786       0.0087011    23
-125.2307692        0.0733375       0.9266625       0.0149161    24
-124.6153846        0.0801740       0.9198260       0.0068365    25
-124.0000000        0.0926041       0.9073959       0.0124301    26
-123.3846154        0.1050342       0.8949658       0.0124301    27
-122.7692308        0.1180858       0.8819142       0.0130516    28
-122.1538462        0.1286513       0.8713487       0.0105656    29
-121.5384615        0.1441889       0.8558111       0.0155376    30
-120.9230769        0.1622126       0.8377874       0.0180236    31
-120.3076923        0.1733996       0.8266004       0.0111871    32
-119.6923077        0.1839652       0.8160348       0.0105656    33
-119.0769231        0.2001243       0.7998757       0.0161591    34
-118.4615385        0.2162834       0.7837166       0.0161591    35
-117.8461538        0.2274705       0.7725295       0.0111871    36
-117.2307692        0.2461156       0.7538844       0.0186451    37
-116.6153846        0.2622747       0.7377253       0.0161591    38
-116.0000000        0.2827843       0.7172157       0.0205096    39
-115.3846154        0.3032940       0.6967060       0.0205096    40
-114.7692308        0.3312617       0.6687383       0.0279677    41
-114.1538462        0.3474208       0.6525792       0.0161591    42
-113.5384615        0.3691734       0.6308266       0.0217526    43
-112.9230769        0.3952766       0.6047234       0.0261032    44
-112.3076923        0.4095712       0.5904288       0.0142946    45
-111.6923077        0.4375388       0.5624612       0.0279677    46
-111.0769231        0.4499689       0.5500311       0.0124301    47
-110.4615385        0.4679925       0.5320075       0.0180236    48
-109.8461538        0.4878807       0.5121193       0.0198881    49
-109.2307692        0.5102548       0.4897452       0.0223741    50
-108.6153846        0.5239279       0.4760721       0.0136731    51
-108.0000000        0.5400870       0.4599130       0.0161591    52
-107.3846154        0.5630827       0.4369173       0.0229956    53
-106.7692308        0.5786203       0.4213797       0.0155376    54
-106.1538462        0.5991299       0.4008701       0.0205096    55
-105.5384615        0.6177750       0.3822250       0.0186451    56
-104.9230769        0.6326911       0.3673089       0.0149161    57
-104.3076923        0.6507147       0.3492853       0.0180236    58
-103.6923077        0.6662523       0.3337477       0.0155376    59
-103.0769231        0.6842759       0.3157241       0.0180236    60
-102.4615385        0.6991920       0.3008080       0.0149161    61
-101.8461538        0.7141081       0.2858919       0.0149161    62
-101.2307692        0.7277812       0.2722188       0.0136731    63
-100.6153846        0.7402113       0.2597887       0.0124301    64
-100.0000000        0.7526414       0.2473586       0.0124301    65
-99.3846154         0.7638285       0.2361715       0.0111871    66
-98.7692308         0.7743940       0.2256060       0.0105656    67
