#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: RxPower
#  Description: Received Power [dBm]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -75.6191148
#  Maximum: -10.5657657
#  Trials: 1602
#  Mean: -46.6877416
# 
#  Variance: 169.8939372
#  Relative variance: 0.0779421
#  Coefficient of variation: 0.2791811
#  Standard deviation: 13.0343369
#  Relative standard deviation: -0.2791811
# 
#  Skewness: 0.3783087
# 
#  2nd moment: 2349.5331025
#  3rd moment: -124710.6727263
# 
#  Sum of all values: -74793.7620558
#  (Sum of all values)^2: 3763952.0302055
#  (Sum of all values)^3: -199786497.7075312
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -120
#  Right border of x-axis: 0
#  Resolution of x-axis: 120
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: -70.7960000
#  P02: -69.2475000
#  P03: -67.4626667
#  P04: -66.5676190
#  P05: -65.7842105
#  P06: -64.9513043
#  P07: -64.2547826
#  P08: -63.4355556
#  P09: -62.7789189
#  P10: -62.3459459
#  P11: -61.9284444
#  P12: -61.5724444
#  P13: -61.2164444
#  P14: -60.8037500
#  P15: -60.3031250
#  P16: -59.8563636
#  P17: -59.4922727
#  P18: -59.1281818
#  P19: -58.7338462
#  P20: -58.3230769
#  P21: -57.9354717
#  P22: -57.6332075
#  P23: -57.3309434
#  P24: -57.0286792
#  P25: -56.6847826
#  P26: -56.3365217
#  P27: -55.9912903
#  P28: -55.7329032
#  P29: -55.4745161
#  P30: -55.2161290
#  P31: -54.9404545
#  P32: -54.5763636
#  P33: -54.2122727
#  P34: -53.8578723
#  P35: -53.5170213
#  P36: -53.1761702
#  P37: -52.8420408
#  P38: -52.5151020
#  P39: -52.1881633
#  P40: -51.8612245
#  P41: -51.5342857
#  P42: -51.2073469
#  P43: -50.8276471
#  P44: -50.3564706
#  P45: -49.9113636
#  P46: -49.5472727
#  P47: -49.1831818
#  P48: -48.8498113
#  P49: -48.5475472
#  P50: -48.2452830
#  P51: -47.9383673
#  P52: -47.6114286
#  P53: -47.2844898
#  P54: -46.9405714
#  P55: -46.4828571
#  P56: -46.0251429
#  P57: -45.5908108
#  P58: -45.1578378
#  P59: -44.7172222
#  P60: -44.2722222
#  P61: -43.8519048
#  P62: -43.4704762
#  P63: -43.0890476
#  P64: -42.6930000
#  P65: -42.2925000
#  P66: -41.8765714
#  P67: -41.4188571
#  P68: -40.9642105
#  P69: -40.5426316
#  P70: -40.1210526
#  P71: -39.5607692
#  P72: -38.9466667
#  P73: -38.3533333
#  P74: -37.7909677
#  P75: -37.2741935
#  P76: -36.8209524
#  P77: -36.4395238
#  P78: -36.0580952
#  P79: -35.3827273
#  P80: -34.7548387
#  P81: -34.2380645
#  P82: -33.6676923
#  P83: -33.0515385
#  P84: -32.4353846
#  P85: -31.8259259
#  P86: -31.2325926
#  P87: -30.5765217
#  P88: -29.8850000
#  P89: -29.2175000
#  P90: -28.4315789
#  P91: -27.2890909
#  P92: -26.1975000
#  P93: -24.7886957
#  P94: -24.0921739
#  P95: -22.7214286
#  P96: -21.5446154
#  P97: -20.3614286
#  P98: -18.7200000
#  P99: -16.0033333
#  P100: -10.5657657
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-120.0000000        0.0000000       1.0000000       0.0000000     0
-119.0000000        0.0000000       1.0000000       0.0000000     1
-118.0000000        0.0000000       1.0000000       0.0000000     2
-117.0000000        0.0000000       1.0000000       0.0000000     3
-116.0000000        0.0000000       1.0000000       0.0000000     4
-115.0000000        0.0000000       1.0000000       0.0000000     5
-114.0000000        0.0000000       1.0000000       0.0000000     6
-113.0000000        0.0000000       1.0000000       0.0000000     7
-112.0000000        0.0000000       1.0000000       0.0000000     8
-111.0000000        0.0000000       1.0000000       0.0000000     9
-110.0000000        0.0000000       1.0000000       0.0000000    10
-109.0000000        0.0000000       1.0000000       0.0000000    11
-108.0000000        0.0000000       1.0000000       0.0000000    12
-107.0000000        0.0000000       1.0000000       0.0000000    13
-106.0000000        0.0000000       1.0000000       0.0000000    14
-105.0000000        0.0000000       1.0000000       0.0000000    15
-104.0000000        0.0000000       1.0000000       0.0000000    16
-103.0000000        0.0000000       1.0000000       0.0000000    17
-102.0000000        0.0000000       1.0000000       0.0000000    18
-101.0000000        0.0000000       1.0000000       0.0000000    19
-100.0000000        0.0000000       1.0000000       0.0000000    20
-99.0000000         0.0000000       1.0000000       0.0000000    21
-98.0000000         0.0000000       1.0000000       0.0000000    22
-97.0000000         0.0000000       1.0000000       0.0000000    23
-96.0000000         0.0000000       1.0000000       0.0000000    24
-95.0000000         0.0000000       1.0000000       0.0000000    25
-94.0000000         0.0000000       1.0000000       0.0000000    26
-93.0000000         0.0000000       1.0000000       0.0000000    27
-92.0000000         0.0000000       1.0000000       0.0000000    28
-91.0000000         0.0000000       1.0000000       0.0000000    29
-90.0000000         0.0000000       1.0000000       0.0000000    30
-89.0000000         0.0000000       1.0000000       0.0000000    31
-88.0000000         0.0000000       1.0000000       0.0000000    32
-87.0000000         0.0000000       1.0000000       0.0000000    33
-86.0000000         0.0000000       1.0000000       0.0000000    34
-85.0000000         0.0000000       1.0000000       0.0000000    35
-84.0000000         0.0000000       1.0000000       0.0000000    36
-83.0000000         0.0000000       1.0000000       0.0000000    37
-82.0000000         0.0000000       1.0000000       0.0000000    38
-81.0000000         0.0000000       1.0000000       0.0000000    39
-80.0000000         0.0000000       1.0000000       0.0000000    40
-79.0000000         0.0000000       1.0000000       0.0000000    41
-78.0000000         0.0000000       1.0000000       0.0000000    42
-77.0000000         0.0000000       1.0000000       0.0000000    43
-76.0000000         0.0000000       1.0000000       0.0000000    44
-75.0000000         0.0012484       0.9987516       0.0012484    45
-74.0000000         0.0018727       0.9981273       0.0006242    46
-73.0000000         0.0024969       0.9975031       0.0006242    47
-72.0000000         0.0037453       0.9962547       0.0012484    48
-71.0000000         0.0093633       0.9906367       0.0056180    49
-70.0000000         0.0124844       0.9875156       0.0031211    50
-69.0000000         0.0224719       0.9775281       0.0099875    51
-68.0000000         0.0249688       0.9750312       0.0024969    52
-67.0000000         0.0343321       0.9656679       0.0093633    53
-66.0000000         0.0474407       0.9525593       0.0131086    54
-65.0000000         0.0593009       0.9406991       0.0118602    55
-64.0000000         0.0736579       0.9263421       0.0143571    56
-63.0000000         0.0848939       0.9151061       0.0112360    57
-62.0000000         0.1079900       0.8920100       0.0230961    58
-61.0000000         0.1360799       0.8639201       0.0280899    59
-60.0000000         0.1560549       0.8439451       0.0199750    60
-59.0000000         0.1835206       0.8164794       0.0274657    61
-58.0000000         0.2078652       0.7921348       0.0243446    62
-57.0000000         0.2409488       0.7590512       0.0330836    63
-56.0000000         0.2696629       0.7303371       0.0287141    64
-55.0000000         0.3083645       0.6916355       0.0387016    65
-54.0000000         0.3358302       0.6641698       0.0274657    66
-53.0000000         0.3651685       0.6348315       0.0293383    67
