#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: SINR
#  Description: SINR [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -5.9126129
#  Maximum: 16.9717164
#  Trials: 1602
#  Mean: 6.0095614
# 
#  Variance: 33.0161391
#  Relative variance: 0.9141990
#  Coefficient of variation: 0.9561375
#  Standard deviation: 5.7459672
#  Relative standard deviation: 0.9561375
# 
#  Skewness: 0.1838306
# 
#  2nd moment: 69.1103585
#  3rd moment: 846.7747114
# 
#  Sum of all values: 9627.3174324
#  (Sum of all values)^2: 110714.7943247
#  (Sum of all values)^3: 1356533.0875957
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -30
#  Right border of x-axis: 30
#  Resolution of x-axis: 300
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: -3.3996000
#  P02: -3.1583448
#  P03: -3.0478621
#  P04: -2.7405714
#  P05: -2.3700000
#  P06: -2.1485000
#  P07: -1.9408571
#  P08: -1.5855000
#  P09: -1.3882000
#  P10: -1.2280000
#  P11: -1.0942400
#  P12: -0.9470000
#  P13: -0.7498824
#  P14: -0.5737600
#  P15: -0.4456000
#  P16: -0.2968000
#  P17: -0.1207500
#  P18: 0.0605714
#  P19: 0.2120000
#  P20: 0.3513043
#  P21: 0.4947273
#  P22: 0.6355200
#  P23: 0.7636800
#  P24: 0.8883077
#  P25: 1.0125000
#  P26: 1.1460000
#  P27: 1.3192500
#  P28: 1.4910476
#  P29: 1.6416364
#  P30: 1.7872727
#  P31: 1.9720000
#  P32: 2.1435789
#  P33: 2.3640000
#  P34: 2.5954286
#  P35: 2.7962500
#  P36: 2.9849412
#  P37: 3.1474000
#  P38: 3.3024762
#  P39: 3.4825714
#  P40: 3.7200000
#  P41: 3.9202222
#  P42: 4.0982222
#  P43: 4.2653333
#  P44: 4.4289231
#  P45: 4.6408333
#  P46: 4.7743333
#  P47: 4.9617500
#  P48: 5.1728000
#  P49: 5.3997143
#  P50: 5.5333333
#  P51: 5.6943529
#  P52: 5.8670476
#  P53: 6.0343333
#  P54: 6.2608000
#  P55: 6.4233333
#  P56: 6.6020000
#  P57: 6.8552000
#  P58: 7.0516000
#  P59: 7.2138824
#  P60: 7.4030769
#  P61: 7.6222069
#  P62: 7.7326897
#  P63: 7.9138182
#  P64: 8.2611429
#  P65: 8.4741176
#  P66: 8.6591111
#  P67: 8.8742222
#  P68: 9.1090526
#  P69: 9.3135385
#  P70: 9.5485714
#  P71: 9.8621818
#  P72: 10.1055000
#  P73: 10.3692000
#  P74: 10.6685000
#  P75: 10.8687500
#  P76: 11.1104000
#  P77: 11.3214737
#  P78: 11.5316923
#  P79: 11.7362353
#  P80: 11.9766667
#  P81: 12.2476364
#  P82: 12.5528000
#  P83: 12.8532000
#  P84: 13.1085000
#  P85: 13.3581818
#  P86: 13.5829333
#  P87: 13.7474000
#  P88: 14.0185263
#  P89: 14.1871579
#  P90: 14.3741176
#  P91: 14.5727500
#  P92: 14.7730000
#  P93: 15.0635556
#  P94: 15.3796364
#  P95: 15.5862500
#  P96: 15.8204444
#  P97: 16.1443636
#  P98: 16.4326667
#  P99: 16.6854286
#  P100: 16.9717164
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-30.0000000         0.0000000       1.0000000       0.0000000     0
-29.8000000         0.0000000       1.0000000       0.0000000     1
-29.6000000         0.0000000       1.0000000       0.0000000     2
-29.4000000         0.0000000       1.0000000       0.0000000     3
-29.2000000         0.0000000       1.0000000       0.0000000     4
-29.0000000         0.0000000       1.0000000       0.0000000     5
-28.8000000         0.0000000       1.0000000       0.0000000     6
-28.6000000         0.0000000       1.0000000       0.0000000     7
-28.4000000         0.0000000       1.0000000       0.0000000     8
-28.2000000         0.0000000       1.0000000       0.0000000     9
-28.0000000         0.0000000       1.0000000       0.0000000    10
-27.8000000         0.0000000       1.0000000       0.0000000    11
-27.6000000         0.0000000       1.0000000       0.0000000    12
-27.4000000         0.0000000       1.0000000       0.0000000    13
-27.2000000         0.0000000       1.0000000       0.0000000    14
-27.0000000         0.0000000       1.0000000       0.0000000    15
-26.8000000         0.0000000       1.0000000       0.0000000    16
-26.6000000         0.0000000       1.0000000       0.0000000    17
-26.4000000         0.0000000       1.0000000       0.0000000    18
-26.2000000         0.0000000       1.0000000       0.0000000    19
-26.0000000         0.0000000       1.0000000       0.0000000    20
-25.8000000         0.0000000       1.0000000       0.0000000    21
-25.6000000         0.0000000       1.0000000       0.0000000    22
-25.4000000         0.0000000       1.0000000       0.0000000    23
-25.2000000         0.0000000       1.0000000       0.0000000    24
-25.0000000         0.0000000       1.0000000       0.0000000    25
-24.8000000         0.0000000       1.0000000       0.0000000    26
-24.6000000         0.0000000       1.0000000       0.0000000    27
-24.4000000         0.0000000       1.0000000       0.0000000    28
-24.2000000         0.0000000       1.0000000       0.0000000    29
-24.0000000         0.0000000       1.0000000       0.0000000    30
-23.8000000         0.0000000       1.0000000       0.0000000    31
-23.6000000         0.0000000       1.0000000       0.0000000    32
-23.4000000         0.0000000       1.0000000       0.0000000    33
-23.2000000         0.0000000       1.0000000       0.0000000    34
-23.0000000         0.0000000       1.0000000       0.0000000    35
-22.8000000         0.0000000       1.0000000       0.0000000    36
-22.6000000         0.0000000       1.0000000       0.0000000    37
-22.4000000         0.0000000       1.0000000       0.0000000    38
-22.2000000         0.0000000       1.0000000       0.0000000    39
-22.0000000         0.0000000       1.0000000       0.0000000    40
-21.8000000         0.0000000       1.0000000       0.0000000    41
-21.6000000         0.0000000       1.0000000       0.0000000    42
-21.4000000         0.0000000       1.0000000       0.0000000    43
-21.2000000         0.0000000       1.0000000       0.0000000    44
-21.0000000         0.0000000       1.0000000       0.0000000    45
-20.8000000         0.0000000       1.0000000       0.0000000    46
-20.6000000         0.0000000       1.0000000       0.0000000    47
-20.4000000         0.0000000       1.0000000       0.0000000    48
-20.2000000         0.0000000       1.0000000       0.0000000    49
-20.0000000         0.0000000       1.0000000       0.0000000    50
-19.8000000         0.0000000       1.0000000       0.0000000    51
-19.6000000         0.0000000       1.0000000       0.0000000    52
-19.4000000         0.0000000       1.0000000       0.0000000    53
-19.2000000         0.0000000       1.0000000       0.0000000    54
-19.0000000         0.0000000       1.0000000       0.0000000    55
-18.8000000         0.0000000       1.0000000       0.0000000    56
-18.6000000         0.0000000       1.0000000       0.0000000    57
-18.4000000         0.0000000       1.0000000       0.0000000    58
-18.2000000         0.0000000       1.0000000       0.0000000    59
-18.0000000         0.0000000       1.0000000       0.0000000    60
-17.8000000         0.0000000       1.0000000       0.0000000    61
-17.6000000         0.0000000       1.0000000       0.0000000    62
-17.4000000         0.0000000       1.0000000       0.0000000    63
-17.2000000         0.0000000       1.0000000       0.0000000    64
-17.0000000         0.0000000       1.0000000       0.0000000    65
-16.8000000         0.0000000       1.0000000       0.0000000    66
-16.6000000         0.0000000       1.0000000       0.0000000    67
-16.4000000         0.0000000       1.0000000       0.0000000    68
-16.2000000         0.0000000       1.0000000       0.0000000    69
-16.0000000         0.0000000       1.0000000       0.0000000    70
-15.8000000         0.0000000       1.0000000       0.0000000    71
-15.6000000         0.0000000       1.0000000       0.0000000    72
-15.4000000         0.0000000       1.0000000       0.0000000    73
-15.2000000         0.0000000       1.0000000       0.0000000    74
-15.0000000         0.0000000       1.0000000       0.0000000    75
-14.8000000         0.0000000       1.0000000       0.0000000    76
-14.6000000         0.0000000       1.0000000       0.0000000    77
-14.4000000         0.0000000       1.0000000       0.0000000    78
-14.2000000         0.0000000       1.0000000       0.0000000    79
-14.0000000         0.0000000       1.0000000       0.0000000    80
