#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: Minimum Pathloss
#  Description: Minimum Pathloss [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -119.0500848
#  Maximum: -48.1324747
#  Trials: 1602
#  Mean: -94.5774861
# 
#  Variance: 156.7720699
#  Relative variance: 0.0175264
#  Coefficient of variation: 0.1323874
#  Standard deviation: 12.5208654
#  Relative standard deviation: -0.1323874
# 
#  Skewness: 0.6834906
# 
#  2nd moment: 9101.5750853
#  3rd moment: -889098.1581075
# 
#  Sum of all values: -151513.1327207
#  (Sum of all values)^2: 14580723.2866438
#  (Sum of all values)^3: -1424335249.2881742
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -140
#  Right border of x-axis: -50
#  Resolution of x-axis: 130
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 2
#  Overflows in percent: 0.001248439
# -----------------------------------------------------------
# Percentiles
#  P01: -114.8771429
#  P02: -113.4126154
#  P03: -112.2512426
#  P04: -111.4492308
#  P05: -110.8435897
#  P06: -110.4328205
#  P07: -110.0742308
#  P08: -109.7661538
#  P09: -109.4480288
#  P10: -109.1014423
#  P11: -108.7133566
#  P12: -108.2092308
#  P13: -107.8247692
#  P14: -107.4564372
#  P15: -107.1645749
#  P16: -106.8727126
#  P17: -106.5946341
#  P18: -106.3241276
#  P19: -106.0503846
#  P20: -105.7423077
#  P21: -105.4342308
#  P22: -105.2021719
#  P23: -104.9847059
#  P24: -104.7672398
#  P25: -104.4958420
#  P26: -104.1960915
#  P27: -103.9016568
#  P28: -103.6172781
#  P29: -103.3328994
#  P30: -103.0611632
#  P31: -102.7906567
#  P32: -102.5069231
#  P33: -102.1988462
#  P34: -101.8907692
#  P35: -101.5826923
#  P36: -101.2746154
#  P37: -100.9665385
#  P38: -100.6584615
#  P39: -100.3733208
#  P40: -100.1028143
#  P41: -99.8278412
#  P42: -99.4700744
#  P43: -99.1216538
#  P44: -98.8443846
#  P45: -98.5671154
#  P46: -98.2854438
#  P47: -98.0010651
#  P48: -97.7009231
#  P49: -97.3312308
#  P50: -96.9881657
#  P51: -96.7037870
#  P52: -96.4194083
#  P53: -96.0102367
#  P54: -95.5836686
#  P55: -95.1571006
#  P56: -94.7584085
#  P57: -94.3759682
#  P58: -93.8521538
#  P59: -93.4524260
#  P60: -93.1680473
#  P61: -92.8765035
#  P62: -92.5404196
#  P63: -92.1958769
#  P64: -91.7522462
#  P65: -91.0964497
#  P66: -90.5196154
#  P67: -90.0613538
#  P68: -89.6177231
#  P69: -89.1193407
#  P70: -88.6524038
#  P71: -88.3058173
#  P72: -87.9057343
#  P73: -87.4016084
#  P74: -86.8205668
#  P75: -86.1832579
#  P76: -85.3353846
#  P77: -84.8773538
#  P78: -84.3763563
#  P79: -83.8345604
#  P80: -83.4384615
#  P81: -82.8249704
#  P82: -82.2656410
#  P83: -81.8548718
#  P84: -81.3938462
#  P85: -80.7730769
#  P86: -79.9808791
#  P87: -79.0427692
#  P88: -78.3169231
#  P89: -77.7007692
#  P90: -76.5984615
#  P91: -75.4264835
#  P92: -74.5861538
#  P93: -73.4640385
#  P94: -72.2872727
#  P95: -71.0846154
#  P96: -70.0815385
#  P97: -67.7761538
#  P98: -65.5132308
#  P99: -61.5996154
#  P100: NaN
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-140.0000000        0.0000000       1.0000000       0.0000000     0
-139.3076923        0.0000000       1.0000000       0.0000000     1
-138.6153846        0.0000000       1.0000000       0.0000000     2
-137.9230769        0.0000000       1.0000000       0.0000000     3
-137.2307692        0.0000000       1.0000000       0.0000000     4
-136.5384615        0.0000000       1.0000000       0.0000000     5
-135.8461538        0.0000000       1.0000000       0.0000000     6
-135.1538462        0.0000000       1.0000000       0.0000000     7
-134.4615385        0.0000000       1.0000000       0.0000000     8
-133.7692308        0.0000000       1.0000000       0.0000000     9
-133.0769231        0.0000000       1.0000000       0.0000000    10
-132.3846154        0.0000000       1.0000000       0.0000000    11
-131.6923077        0.0000000       1.0000000       0.0000000    12
-131.0000000        0.0000000       1.0000000       0.0000000    13
-130.3076923        0.0000000       1.0000000       0.0000000    14
-129.6153846        0.0000000       1.0000000       0.0000000    15
-128.9230769        0.0000000       1.0000000       0.0000000    16
-128.2307692        0.0000000       1.0000000       0.0000000    17
-127.5384615        0.0000000       1.0000000       0.0000000    18
-126.8461538        0.0000000       1.0000000       0.0000000    19
-126.1538462        0.0000000       1.0000000       0.0000000    20
-125.4615385        0.0000000       1.0000000       0.0000000    21
-124.7692308        0.0000000       1.0000000       0.0000000    22
-124.0769231        0.0000000       1.0000000       0.0000000    23
-123.3846154        0.0000000       1.0000000       0.0000000    24
-122.6923077        0.0000000       1.0000000       0.0000000    25
-122.0000000        0.0000000       1.0000000       0.0000000    26
-121.3076923        0.0000000       1.0000000       0.0000000    27
-120.6153846        0.0000000       1.0000000       0.0000000    28
-119.9230769        0.0000000       1.0000000       0.0000000    29
-119.2307692        0.0000000       1.0000000       0.0000000    30
-118.5384615        0.0006242       0.9993758       0.0006242    31
-117.8461538        0.0006242       0.9993758       0.0000000    32
-117.1538462        0.0018727       0.9981273       0.0012484    33
-116.4615385        0.0024969       0.9975031       0.0006242    34
-115.7692308        0.0037453       0.9962547       0.0012484    35
-115.0769231        0.0087391       0.9912609       0.0049938    36
-114.3846154        0.0131086       0.9868914       0.0043695    37
-113.6923077        0.0174782       0.9825218       0.0043695    38
-113.0000000        0.0237203       0.9762797       0.0062422    39
-112.3076923        0.0293383       0.9706617       0.0056180    40
-111.6153846        0.0374532       0.9625468       0.0081149    41
-110.9230769        0.0480649       0.9519351       0.0106117    42
-110.2307692        0.0649189       0.9350811       0.0168539    43
-109.5384615        0.0873908       0.9126092       0.0224719    44
-108.8461538        0.1073658       0.8926342       0.0199750    45
-108.1538462        0.1210986       0.8789014       0.0137328    46
-107.4615385        0.1398252       0.8601748       0.0187266    47
-106.7692308        0.1635456       0.8364544       0.0237203    48
-106.0769231        0.1891386       0.8108614       0.0255930    49
-105.3846154        0.2116105       0.7883895       0.0224719    50
-104.6923077        0.2434457       0.7565543       0.0318352    51
-104.0000000        0.2665418       0.7334582       0.0230961    52
-103.3076923        0.2908864       0.7091136       0.0243446    53
-102.6153846        0.3164794       0.6835206       0.0255930    54
-101.9230769        0.3389513       0.6610487       0.0224719    55
-101.2307692        0.3614232       0.6385768       0.0224719    56
-100.5384615        0.3838951       0.6161049       0.0224719    57
-99.8461538         0.4094881       0.5905119       0.0255930    58
-99.1538462         0.4288390       0.5711610       0.0193508    59
-98.4615385         0.4538077       0.5461923       0.0249688    60
-97.7692308         0.4781523       0.5218477       0.0243446    61
-97.0769231         0.4968789       0.5031211       0.0187266    62
-96.3846154         0.5212235       0.4787765       0.0243446    63
-95.6923077         0.5374532       0.4625468       0.0162297    64
-95.0000000         0.5536829       0.4463171       0.0162297    65
-94.3076923         0.5717853       0.4282147       0.0181024    66
-93.6153846         0.5842697       0.4157303       0.0124844    67
