#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: RxPower
#  Description: Received Power [dBm]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -86.5098121
#  Maximum: -5.2870345
#  Trials: 1601
#  Mean: -42.5336967
# 
#  Variance: 324.0563906
#  Relative variance: 0.1791242
#  Coefficient of variation: 0.4232307
#  Standard deviation: 18.0015663
#  Relative standard deviation: -0.4232307
# 
#  Skewness: -0.0968909
# 
#  2nd moment: 2132.9693394
#  3rd moment: -118837.7000897
# 
#  Sum of all values: -68096.4484641
#  (Sum of all values)^2: 3414883.9123118
#  (Sum of all values)^3: -190259157.8436223
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -120
#  Right border of x-axis: 0
#  Resolution of x-axis: 120
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: -80.6650000
#  P02: -78.6225000
#  P03: -75.9962500
#  P04: -74.3815385
#  P05: -73.0791667
#  P06: -72.2073684
#  P07: -70.5930000
#  P08: -69.3280000
#  P09: -68.4455000
#  P10: -67.5823529
#  P11: -66.7090476
#  P12: -65.8880000
#  P13: -64.6247368
#  P14: -63.6550000
#  P15: -62.5472222
#  P16: -61.7200000
#  P17: -60.9919048
#  P18: -60.2295238
#  P19: -59.5524000
#  P20: -58.9000000
#  P21: -58.1722727
#  P22: -57.3211111
#  P23: -56.3606250
#  P24: -55.4880000
#  P25: -54.6875000
#  P26: -53.9130769
#  P27: -53.2973077
#  P28: -52.7240000
#  P29: -52.1903333
#  P30: -51.7711111
#  P31: -51.4153333
#  P32: -51.0595556
#  P33: -50.6191429
#  P34: -50.1617143
#  P35: -49.6955882
#  P36: -49.2247059
#  P37: -48.8256250
#  P38: -48.4920833
#  P39: -48.1585417
#  P40: -47.7789474
#  P41: -47.3576316
#  P42: -46.9069231
#  P43: -46.2911538
#  P44: -45.8081818
#  P45: -45.4443182
#  P46: -45.0804545
#  P47: -44.6103125
#  P48: -44.1100000
#  P49: -43.6096875
#  P50: -43.1093750
#  P51: -42.6525000
#  P52: -42.2077778
#  P53: -41.7334375
#  P54: -41.2331250
#  P55: -40.7328125
#  P56: -40.2325000
#  P57: -39.6429167
#  P58: -38.9792857
#  P59: -38.4075000
#  P60: -37.8466667
#  P61: -37.3130000
#  P62: -36.7864516
#  P63: -36.2700000
#  P64: -35.6816667
#  P65: -35.0145833
#  P66: -34.0212500
#  P67: -33.3470833
#  P68: -32.6342857
#  P69: -31.8584211
#  P70: -31.0157895
#  P71: -30.2859091
#  P72: -29.6261538
#  P73: -29.0103846
#  P74: -28.2845455
#  P75: -27.6388889
#  P76: -27.0459259
#  P77: -26.3845833
#  P78: -25.7488889
#  P79: -25.1559259
#  P80: -24.5461538
#  P81: -23.9467647
#  P82: -23.4758824
#  P83: -23.0050000
#  P84: -22.4890323
#  P85: -21.9645833
#  P86: -21.2975000
#  P87: -20.6588462
#  P88: -20.0430769
#  P89: -19.2909524
#  P90: -18.4176471
#  P91: -17.5757143
#  P92: -16.7694118
#  P93: -15.8535000
#  P94: -15.0530000
#  P95: -14.3204545
#  P96: -12.7885714
#  P97: -11.5858333
#  P98: -9.7800000
#  P99: -8.2508333
#  P100: -5.2870345
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-120.0000000        0.0000000       1.0000000       0.0000000     0
-119.0000000        0.0000000       1.0000000       0.0000000     1
-118.0000000        0.0000000       1.0000000       0.0000000     2
-117.0000000        0.0000000       1.0000000       0.0000000     3
-116.0000000        0.0000000       1.0000000       0.0000000     4
-115.0000000        0.0000000       1.0000000       0.0000000     5
-114.0000000        0.0000000       1.0000000       0.0000000     6
-113.0000000        0.0000000       1.0000000       0.0000000     7
-112.0000000        0.0000000       1.0000000       0.0000000     8
-111.0000000        0.0000000       1.0000000       0.0000000     9
-110.0000000        0.0000000       1.0000000       0.0000000    10
-109.0000000        0.0000000       1.0000000       0.0000000    11
-108.0000000        0.0000000       1.0000000       0.0000000    12
-107.0000000        0.0000000       1.0000000       0.0000000    13
-106.0000000        0.0000000       1.0000000       0.0000000    14
-105.0000000        0.0000000       1.0000000       0.0000000    15
-104.0000000        0.0000000       1.0000000       0.0000000    16
-103.0000000        0.0000000       1.0000000       0.0000000    17
-102.0000000        0.0000000       1.0000000       0.0000000    18
-101.0000000        0.0000000       1.0000000       0.0000000    19
-100.0000000        0.0000000       1.0000000       0.0000000    20
-99.0000000         0.0000000       1.0000000       0.0000000    21
-98.0000000         0.0000000       1.0000000       0.0000000    22
-97.0000000         0.0000000       1.0000000       0.0000000    23
-96.0000000         0.0000000       1.0000000       0.0000000    24
-95.0000000         0.0000000       1.0000000       0.0000000    25
-94.0000000         0.0000000       1.0000000       0.0000000    26
-93.0000000         0.0000000       1.0000000       0.0000000    27
-92.0000000         0.0000000       1.0000000       0.0000000    28
-91.0000000         0.0000000       1.0000000       0.0000000    29
-90.0000000         0.0000000       1.0000000       0.0000000    30
-89.0000000         0.0000000       1.0000000       0.0000000    31
-88.0000000         0.0000000       1.0000000       0.0000000    32
-87.0000000         0.0000000       1.0000000       0.0000000    33
-86.0000000         0.0006246       0.9993754       0.0006246    34
-85.0000000         0.0012492       0.9987508       0.0006246    35
-84.0000000         0.0024984       0.9975016       0.0012492    36
-83.0000000         0.0043723       0.9956277       0.0018738    37
-82.0000000         0.0074953       0.9925047       0.0031230    38
-81.0000000         0.0087445       0.9912555       0.0012492    39
-80.0000000         0.0124922       0.9875078       0.0037477    40
-79.0000000         0.0181137       0.9818863       0.0056215    41
-78.0000000         0.0231106       0.9768894       0.0049969    42
-77.0000000         0.0274828       0.9725172       0.0043723    43
-76.0000000         0.0299813       0.9700187       0.0024984    44
-75.0000000         0.0349781       0.9650219       0.0049969    45
-74.0000000         0.0430981       0.9569019       0.0081199    46
-73.0000000         0.0505934       0.9494066       0.0074953    47
-72.0000000         0.0624610       0.9375390       0.0118676    48
-71.0000000         0.0674578       0.9325422       0.0049969    49
-70.0000000         0.0737039       0.9262961       0.0062461    50
-69.0000000         0.0830731       0.9169269       0.0093691    51
-68.0000000         0.0955653       0.9044347       0.0124922    52
-67.0000000         0.1061836       0.8938164       0.0106184    53
-66.0000000         0.1193004       0.8806996       0.0131168    54
-65.0000000         0.1255465       0.8744535       0.0062461    55
-64.0000000         0.1374141       0.8625859       0.0118676    56
-63.0000000         0.1449094       0.8550906       0.0074953    57
-62.0000000         0.1561524       0.8438476       0.0112430    58
-61.0000000         0.1698938       0.8301062       0.0137414    59
-60.0000000         0.1830106       0.8169894       0.0131168    60
-59.0000000         0.1986259       0.8013741       0.0156152    61
-58.0000000         0.2123673       0.7876327       0.0137414    62
-57.0000000         0.2236102       0.7763898       0.0112430    63
-56.0000000         0.2336040       0.7663960       0.0099938    64
-55.0000000         0.2460962       0.7539038       0.0124922    65
-54.0000000         0.2585884       0.7414116       0.0124922    66
-53.0000000         0.2748282       0.7251718       0.0162399    67
