#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: SINR
#  Description: SINR [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -4.9141319
#  Maximum: 16.9426810
#  Trials: 1601
#  Mean: 6.7453866
# 
#  Variance: 31.6529459
#  Relative variance: 0.6956655
#  Coefficient of variation: 0.8340656
#  Standard deviation: 5.6260951
#  Relative standard deviation: 0.8340656
# 
#  Skewness: -0.0192558
# 
#  2nd moment: 77.1334153
#  3rd moment: 943.6215721
# 
#  Sum of all values: 10799.3639145
#  (Sum of all values)^2: 123490.5978814
#  (Sum of all values)^3: 1510738.1369279
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -10
#  Right border of x-axis: 20
#  Resolution of x-axis: 300
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: -3.3598000
#  P02: -3.0704706
#  P03: -2.8656667
#  P04: -2.3992000
#  P05: -2.0650000
#  P06: -1.6660000
#  P07: -1.4786000
#  P08: -1.2184000
#  P09: -1.0355455
#  P10: -0.8487500
#  P11: -0.6535455
#  P12: -0.4653333
#  P13: -0.3220769
#  P14: -0.1623636
#  P15: -0.0168182
#  P16: 0.2017778
#  P17: 0.4018889
#  P18: 0.5552308
#  P19: 0.7021111
#  P20: 0.8800000
#  P21: 1.1651250
#  P22: 1.4174286
#  P23: 1.5730714
#  P24: 1.7582222
#  P25: 1.9875000
#  P26: 2.1688333
#  P27: 2.2943846
#  P28: 2.4426667
#  P29: 2.7184286
#  P30: 2.9023077
#  P31: 3.0551667
#  P32: 3.3464000
#  P33: 3.5523571
#  P34: 3.6934000
#  P35: 3.8535000
#  P36: 4.1170000
#  P37: 4.3137000
#  P38: 4.4922500
#  P39: 4.6548750
#  P40: 4.8425000
#  P41: 5.0344286
#  P42: 5.2070000
#  P43: 5.4486000
#  P44: 5.6488000
#  P45: 5.8431250
#  P46: 6.0205000
#  P47: 6.1539167
#  P48: 6.4080000
#  P49: 6.6561250
#  P50: 6.8500000
#  P51: 6.9955455
#  P52: 7.2037143
#  P53: 7.3253000
#  P54: 7.5393333
#  P55: 7.7050000
#  P56: 7.8556000
#  P57: 8.0071250
#  P58: 8.1953333
#  P59: 8.3573750
#  P60: 8.5766667
#  P61: 8.7961000
#  P62: 8.9957778
#  P63: 9.2175333
#  P64: 9.3455000
#  P65: 9.5183333
#  P66: 9.7532000
#  P67: 9.9778333
#  P68: 10.1742222
#  P69: 10.3948333
#  P70: 10.6450000
#  P71: 10.8958571
#  P72: 11.1388571
#  P73: 11.3341250
#  P74: 11.5456667
#  P75: 11.7468750
#  P76: 11.8784000
#  P77: 12.0252857
#  P78: 12.2070909
#  P79: 12.3827143
#  P80: 12.5350000
#  P81: 12.7544286
#  P82: 12.9402857
#  P83: 13.1416429
#  P84: 13.2653333
#  P85: 13.4370000
#  P86: 13.6686000
#  P87: 13.8322500
#  P88: 13.9875556
#  P89: 14.1530000
#  P90: 14.3433333
#  P91: 14.5656667
#  P92: 14.6993846
#  P93: 14.9732500
#  P94: 15.3215556
#  P95: 15.4895000
#  P96: 15.7653333
#  P97: 16.0194000
#  P98: 16.3425714
#  P99: 16.5726364
#  P100: 16.9426810
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-10.0000000         0.0000000       1.0000000       0.0000000     0
-9.9000000          0.0000000       1.0000000       0.0000000     1
-9.8000000          0.0000000       1.0000000       0.0000000     2
-9.7000000          0.0000000       1.0000000       0.0000000     3
-9.6000000          0.0000000       1.0000000       0.0000000     4
-9.5000000          0.0000000       1.0000000       0.0000000     5
-9.4000000          0.0000000       1.0000000       0.0000000     6
-9.3000000          0.0000000       1.0000000       0.0000000     7
-9.2000000          0.0000000       1.0000000       0.0000000     8
-9.1000000          0.0000000       1.0000000       0.0000000     9
-9.0000000          0.0000000       1.0000000       0.0000000    10
-8.9000000          0.0000000       1.0000000       0.0000000    11
-8.8000000          0.0000000       1.0000000       0.0000000    12
-8.7000000          0.0000000       1.0000000       0.0000000    13
-8.6000000          0.0000000       1.0000000       0.0000000    14
-8.5000000          0.0000000       1.0000000       0.0000000    15
-8.4000000          0.0000000       1.0000000       0.0000000    16
-8.3000000          0.0000000       1.0000000       0.0000000    17
-8.2000000          0.0000000       1.0000000       0.0000000    18
-8.1000000          0.0000000       1.0000000       0.0000000    19
-8.0000000          0.0000000       1.0000000       0.0000000    20
-7.9000000          0.0000000       1.0000000       0.0000000    21
-7.8000000          0.0000000       1.0000000       0.0000000    22
-7.7000000          0.0000000       1.0000000       0.0000000    23
-7.6000000          0.0000000       1.0000000       0.0000000    24
-7.5000000          0.0000000       1.0000000       0.0000000    25
-7.4000000          0.0000000       1.0000000       0.0000000    26
-7.3000000          0.0000000       1.0000000       0.0000000    27
-7.2000000          0.0000000       1.0000000       0.0000000    28
-7.1000000          0.0000000       1.0000000       0.0000000    29
-7.0000000          0.0000000       1.0000000       0.0000000    30
-6.9000000          0.0000000       1.0000000       0.0000000    31
-6.8000000          0.0000000       1.0000000       0.0000000    32
-6.7000000          0.0000000       1.0000000       0.0000000    33
-6.6000000          0.0000000       1.0000000       0.0000000    34
-6.5000000          0.0000000       1.0000000       0.0000000    35
-6.4000000          0.0000000       1.0000000       0.0000000    36
-6.3000000          0.0000000       1.0000000       0.0000000    37
-6.2000000          0.0000000       1.0000000       0.0000000    38
-6.1000000          0.0000000       1.0000000       0.0000000    39
-6.0000000          0.0000000       1.0000000       0.0000000    40
-5.9000000          0.0000000       1.0000000       0.0000000    41
-5.8000000          0.0000000       1.0000000       0.0000000    42
-5.7000000          0.0000000       1.0000000       0.0000000    43
-5.6000000          0.0000000       1.0000000       0.0000000    44
-5.5000000          0.0000000       1.0000000       0.0000000    45
-5.4000000          0.0000000       1.0000000       0.0000000    46
-5.3000000          0.0000000       1.0000000       0.0000000    47
-5.2000000          0.0000000       1.0000000       0.0000000    48
-5.1000000          0.0000000       1.0000000       0.0000000    49
-5.0000000          0.0000000       1.0000000       0.0000000    50
-4.9000000          0.0006246       0.9993754       0.0006246    51
-4.8000000          0.0012492       0.9987508       0.0006246    52
-4.7000000          0.0012492       0.9987508       0.0000000    53
-4.6000000          0.0012492       0.9987508       0.0000000    54
-4.5000000          0.0012492       0.9987508       0.0000000    55
-4.4000000          0.0012492       0.9987508       0.0000000    56
-4.3000000          0.0018738       0.9981262       0.0006246    57
-4.2000000          0.0024984       0.9975016       0.0006246    58
-4.1000000          0.0031230       0.9968770       0.0006246    59
-4.0000000          0.0037477       0.9962523       0.0006246    60
-3.9000000          0.0043723       0.9956277       0.0006246    61
-3.8000000          0.0062461       0.9937539       0.0018738    62
-3.7000000          0.0062461       0.9937539       0.0000000    63
-3.6000000          0.0068707       0.9931293       0.0006246    64
-3.5000000          0.0074953       0.9925047       0.0006246    65
-3.4000000          0.0087445       0.9912555       0.0012492    66
