#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: Minimum Pathloss
#  Description: Minimum Pathloss [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -132.5098121
#  Maximum: -51.2870345
#  Trials: 1601
#  Mean: -88.5336967
# 
#  Variance: 324.0563906
#  Relative variance: 0.0413431
#  Coefficient of variation: 0.2033301
#  Standard deviation: 18.0015663
#  Relative standard deviation: -0.2033301
# 
#  Skewness: -0.0968909
# 
#  2nd moment: 8162.0694385
#  3rd moment: -780527.3757607
# 
#  Sum of all values: -141742.4484641
#  (Sum of all values)^2: 13067473.1710113
#  (Sum of all values)^3: -1249624328.5929146
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -140
#  Right border of x-axis: -40
#  Resolution of x-axis: 130
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: -126.6138462
#  P02: -124.6131868
#  P03: -122.1756410
#  P04: -120.3179487
#  P05: -119.0874126
#  P06: -118.0437870
#  P07: -116.7240385
#  P08: -115.2615385
#  P09: -114.3706731
#  P10: -113.5443787
#  P11: -112.7099548
#  P12: -111.7600000
#  P13: -110.7023669
#  P14: -109.7104895
#  P15: -108.5909091
#  P16: -107.6476923
#  P17: -107.0319231
#  P18: -106.1989011
#  P19: -105.5974359
#  P20: -104.9230769
#  P21: -104.1725962
#  P22: -103.3395604
#  P23: -102.2966346
#  P24: -101.5276018
#  P25: -100.8031674
#  P26: -99.9034188
#  P27: -99.2198381
#  P28: -98.5716599
#  P29: -98.1775641
#  P30: -97.8354701
#  P31: -97.4365385
#  P32: -96.9967033
#  P33: -96.5568681
#  P34: -96.1183024
#  P35: -95.6936340
#  P36: -95.2689655
#  P37: -94.8442971
#  P38: -94.4659919
#  P39: -94.1419028
#  P40: -93.8076923
#  P41: -93.3678571
#  P42: -92.8783883
#  P43: -92.2970223
#  P44: -91.8997519
#  P45: -91.4938462
#  P46: -91.0012308
#  P47: -90.5365385
#  P48: -90.0967033
#  P49: -89.5822742
#  P50: -89.0848806
#  P51: -88.6602122
#  P52: -88.1993846
#  P53: -87.7067692
#  P54: -87.2495726
#  P55: -86.7639860
#  P56: -86.2041958
#  P57: -85.5934615
#  P58: -85.0715976
#  P59: -84.5829670
#  P60: -83.7692308
#  P61: -83.2955621
#  P62: -82.8313390
#  P63: -82.3752137
#  P64: -81.6519231
#  P65: -80.9551282
#  P66: -80.0217949
#  P67: -79.3303419
#  P68: -78.4340081
#  P69: -77.7858300
#  P70: -77.0336538
#  P71: -76.3371795
#  P72: -75.7440559
#  P73: -75.0907692
#  P74: -74.2913462
#  P75: -73.5989011
#  P76: -73.0017094
#  P77: -72.3175214
#  P78: -71.7296703
#  P79: -71.1016194
#  P80: -70.4965035
#  P81: -69.9484330
#  P82: -69.4923077
#  P83: -69.0023411
#  P84: -68.4668896
#  P85: -67.9314381
#  P86: -67.3136752
#  P87: -66.6714286
#  P88: -66.0815385
#  P89: -65.4657692
#  P90: -64.6208791
#  P91: -63.5139423
#  P92: -62.7442308
#  P93: -62.0115385
#  P94: -61.2217949
#  P95: -60.3389423
#  P96: -58.9261538
#  P97: -57.6946154
#  P98: -55.7164835
#  P99: -54.1888889
#  P100: -51.2870345
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-140.0000000        0.0000000       1.0000000       0.0000000     0
-139.2307692        0.0000000       1.0000000       0.0000000     1
-138.4615385        0.0000000       1.0000000       0.0000000     2
-137.6923077        0.0000000       1.0000000       0.0000000     3
-136.9230769        0.0000000       1.0000000       0.0000000     4
-136.1538462        0.0000000       1.0000000       0.0000000     5
-135.3846154        0.0000000       1.0000000       0.0000000     6
-134.6153846        0.0000000       1.0000000       0.0000000     7
-133.8461538        0.0000000       1.0000000       0.0000000     8
-133.0769231        0.0000000       1.0000000       0.0000000     9
-132.3076923        0.0006246       0.9993754       0.0006246    10
-131.5384615        0.0006246       0.9993754       0.0000000    11
-130.7692308        0.0012492       0.9987508       0.0006246    12
-130.0000000        0.0024984       0.9975016       0.0012492    13
-129.2307692        0.0043723       0.9956277       0.0018738    14
-128.4615385        0.0056215       0.9943785       0.0012492    15
-127.6923077        0.0081199       0.9918801       0.0024984    16
-126.9230769        0.0087445       0.9912555       0.0006246    17
-126.1538462        0.0118676       0.9881324       0.0031230    18
-125.3846154        0.0149906       0.9850094       0.0031230    19
-124.6153846        0.0199875       0.9800125       0.0049969    20
-123.8461538        0.0243598       0.9756402       0.0043723    21
-123.0769231        0.0268582       0.9731418       0.0024984    22
-122.3076923        0.0293567       0.9706433       0.0024984    23
-121.5384615        0.0331043       0.9668957       0.0037477    24
-120.7692308        0.0356027       0.9643973       0.0024984    25
-120.0000000        0.0430981       0.9569019       0.0074953    26
-119.2307692        0.0487196       0.9512804       0.0056215    27
-118.4615385        0.0555903       0.9444097       0.0068707    28
-117.6923077        0.0637102       0.9362898       0.0081199    29
-116.9230769        0.0687071       0.9312929       0.0049969    30
-116.1538462        0.0737039       0.9262961       0.0049969    31
-115.3846154        0.0787008       0.9212992       0.0049969    32
-114.6153846        0.0868207       0.9131793       0.0081199    33
-113.8461538        0.0968145       0.9031855       0.0099938    34
-113.0769231        0.1049344       0.8950656       0.0081199    35
-112.3076923        0.1155528       0.8844472       0.0106184    36
-111.5384615        0.1217989       0.8782011       0.0062461    37
-110.7692308        0.1292942       0.8707058       0.0074953    38
-110.0000000        0.1374141       0.8625859       0.0081199    39
-109.2307692        0.1442848       0.8557152       0.0068707    40
-108.4615385        0.1511555       0.8488445       0.0068707    41
-107.6923077        0.1592755       0.8407245       0.0081199    42
-106.9230769        0.1717676       0.8282324       0.0124922    43
-106.1538462        0.1805122       0.8194878       0.0087445    44
-105.3846154        0.1936290       0.8063710       0.0131168    45
-104.6153846        0.2042473       0.7957527       0.0106184    46
-103.8461538        0.2142411       0.7857589       0.0099938    47
-103.0769231        0.2229856       0.7770144       0.0087445    48
-102.3076923        0.2298563       0.7701437       0.0068707    49
-101.5384615        0.2398501       0.7601499       0.0099938    50
-100.7692308        0.2504685       0.7495315       0.0106184    51
-100.0000000        0.2585884       0.7414116       0.0081199    52
-99.2307692         0.2698314       0.7301686       0.0112430    53
-98.4615385         0.2816989       0.7183011       0.0118676    54
-97.6923077         0.3041849       0.6958151       0.0224859    55
-96.9230769         0.3216740       0.6783260       0.0174891    56
-96.1538462         0.3391630       0.6608370       0.0174891    57
-95.3846154         0.3572767       0.6427233       0.0181137    58
-94.6153846         0.3753904       0.6246096       0.0181137    59
-93.8461538         0.3991255       0.6008745       0.0237352    60
-93.0769231         0.4166146       0.5833854       0.0174891    61
-92.3076923         0.4297314       0.5702686       0.0131168    62
-91.5384615         0.4490943       0.5509057       0.0193629    63
-90.7692308         0.4647096       0.5352904       0.0156152    64
-90.0000000         0.4821986       0.5178014       0.0174891    65
-89.2307692         0.4965646       0.5034354       0.0143660    66
-88.4615385         0.5146783       0.4853217       0.0181137    67
-87.6923077         0.5302936       0.4697064       0.0156152    68
-86.9230769         0.5471580       0.4528420       0.0168645    69
-86.1538462         0.5608994       0.4391006       0.0137414    70
-85.3846154         0.5733916       0.4266084       0.0124922    71
-84.6153846         0.5896315       0.4103685       0.0162399    72
-83.8461538         0.5983760       0.4016240       0.0087445    73
-83.0769231         0.6146159       0.3853841       0.0162399    74
-82.3076923         0.6314803       0.3685197       0.0168645    75
-81.5384615         0.6414741       0.3585259       0.0099938    76
-80.7692308         0.6527171       0.3472829       0.0112430    77
-80.0000000         0.6602124       0.3397876       0.0074953    78
-79.2307692         0.6714553       0.3285447       0.0112430    79
-78.4615385         0.6795753       0.3204247       0.0081199    80
-77.6923077         0.6914428       0.3085572       0.0118676    81
-76.9230769         0.7014366       0.2985634       0.0099938    82
-76.1538462         0.7126796       0.2873204       0.0112430    83
-75.3846154         0.7264210       0.2735790       0.0137414    84
-74.6153846         0.7357901       0.2642099       0.0093691    85
-73.8461538         0.7457839       0.2542161       0.0099938    86
-73.0769231         0.7589007       0.2410993       0.0131168    87
-72.3076923         0.7701437       0.2298563       0.0112430    88
-71.5384615         0.7832605       0.2167395       0.0131168    89
-70.7692308         0.7951280       0.2048720       0.0118676    90
-70.0000000         0.8088695       0.1911305       0.0137414    91
-69.2307692         0.8257339       0.1742661       0.0168645    92
-68.4615385         0.8400999       0.1599001       0.0143660    93
-67.6923077         0.8544660       0.1455340       0.0143660    94
-66.9230769         0.8657089       0.1342911       0.0112430    95
-66.1538462         0.8788257       0.1211743       0.0131168    96
-65.3846154         0.8913179       0.1086821       0.0124922    97
-64.6153846         0.9000625       0.0999375       0.0087445    98
-63.8461538         0.9056839       0.0943161       0.0056215    99
-63.0769231         0.9156777       0.0843223       0.0099938   100
-62.3076923         0.9256715       0.0743285       0.0099938   101
-61.5384615         0.9369144       0.0630856       0.0112430   102
-60.7692308         0.9444097       0.0555903       0.0074953   103
-60.0000000         0.9544035       0.0455965       0.0099938   104
-59.2307692         0.9575265       0.0424735       0.0031230   105
-58.4615385         0.9637726       0.0362274       0.0062461   106
-57.6923077         0.9700187       0.0299813       0.0062461   107
-56.9230769         0.9750156       0.0249844       0.0049969   108
-56.1538462         0.9775141       0.0224859       0.0024984   109
-55.3846154         0.9818863       0.0181137       0.0043723   110
-54.6153846         0.9868832       0.0131168       0.0049969   111
-53.8461538         0.9925047       0.0074953       0.0056215   112
-53.0769231         0.9937539       0.0062461       0.0012492   113
-52.3076923         0.9968770       0.0031230       0.0031230   114
-51.5384615         0.9993754       0.0006246       0.0024984   115
-50.7692308         1.0000000       0.0000000       0.0006246   116
-50.0000000         1.0000000       0.0000000       0.0000000   117
-49.2307692         1.0000000       0.0000000       0.0000000   118
-48.4615385         1.0000000       0.0000000       0.0000000   119
-47.6923077         1.0000000       0.0000000       0.0000000   120
-46.9230769         1.0000000       0.0000000       0.0000000   121
-46.1538462         1.0000000       0.0000000       0.0000000   122
-45.3846154         1.0000000       0.0000000       0.0000000   123
-44.6153846         1.0000000       0.0000000       0.0000000   124
-43.8461538         1.0000000       0.0000000       0.0000000   125
-43.0769231         1.0000000       0.0000000       0.0000000   126
-42.3076923         1.0000000       0.0000000       0.0000000   127
-41.5384615         1.0000000       0.0000000       0.0000000   128
-40.7692308         1.0000000       0.0000000       0.0000000   129
-40.0000000         1.0000000       0.0000000       0.0000000   130
# -----------------------------------------------------------
